sample_idx,video_id,gt_music_id,preference_variant,user_text,original_user_text,generated_text,reference_text,music_title,music_artist,is_fallback,scope_note
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,original,"Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.","Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie and folk sound, with a touch of melancholy. It's part of the album 'Youth' and would be a perfect fit for your video.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie sound with female vocals that bring a sense of melancholy. It's part of the album 'Wild Youth' and perfectly captures the emotions you're looking for in your video.",Youth,Daughter,0,prompt_text_changed_only_precomputed_text_feature_unchanged
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,cf_upbeat_electronic,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.","Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful and melancholic sound with female vocals. It falls under the genres of indie, rock, and pop, and it has a slow tempo. It would be a perfect fit for your video.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie sound with female vocals that bring a sense of melancholy. It's part of the album 'Wild Youth' and perfectly captures the emotions you're looking for in your video.",Youth,Daughter,0,prompt_text_changed_only_precomputed_text_feature_unchanged
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,cf_lyrical_piano,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.","In that case, I recommend 'Youth' by Daughter. This track has a beautiful and emotional piano melody that creates a soothing and introspective atmosphere. It's perfect for creating a calming and sentimental mood in your video.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie sound with female vocals that bring a sense of melancholy. It's part of the album 'Wild Youth' and perfectly captures the emotions you're looking for in your video.",Youth,Daughter,0,prompt_text_changed_only_precomputed_text_feature_unchanged
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,original,That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,"Certainly! I recommend 'TOPCRIMINAL' by Kapris. It's an electronic track with elements of Hip-Hop, chillout, and pop. The song has a relaxed and chill vibe, which aligns well with Kapris' style. It was released in 2013 and is available for free download on Kapris' website.","Certainly! I would recommend 'TOPCRIMINAL' by Kapris. It's a track from their MIXTAPE 2009 'Analiz&Foseptik'. This song combines electronic, Hip-Hop, and ambient elements with a chillout vibe. It's a great choice if you want to incorporate Kapris' distinctive style into your video.",TOPCRIMINAL,Kapris,0,prompt_text_changed_only_precomputed_text_feature_unchanged
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,cf_upbeat_electronic,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.",That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,"In that case, I recommend 'TOPCRIMINAL' by Kapris. This track combines electronic, Hip-Hop, and dance genres, creating a fast-paced and energetic sound. It has a bright mood and clear rhythm, perfect for creating a lively atmosphere in your video.","Certainly! I would recommend 'TOPCRIMINAL' by Kapris. It's a track from their MIXTAPE 2009 'Analiz&Foseptik'. This song combines electronic, Hip-Hop, and ambient elements with a chillout vibe. It's a great choice if you want to incorporate Kapris' distinctive style into your video.",TOPCRIMINAL,Kapris,0,prompt_text_changed_only_precomputed_text_feature_unchanged
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,cf_lyrical_piano,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.",That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,"I suggest checking out 'Love Is Blind' by R. Kelly. It's a track from his album 'Love Letter'. This song combines elements of Hip-Hop, electronic, and pop genres with a touch of rock. It has a slow tempo and features piano, which aligns with your preferences. The lyrics are about love and the music has a soothing and sentimental vibe.","Certainly! I would recommend 'TOPCRIMINAL' by Kapris. It's a track from their MIXTAPE 2009 'Analiz&Foseptik'. This song combines electronic, Hip-Hop, and ambient elements with a chillout vibe. It's a great choice if you want to incorporate Kapris' distinctive style into your video.",TOPCRIMINAL,Kapris,0,prompt_text_changed_only_precomputed_text_feature_unchanged
123,iWKoFZAX4MM,iWKoFZAX4MM_dVoN7QajNz8,original,"I'm also looking for something with a summery vibe, possibly a collaboration that's been produced by a known band.","I'm also looking for something with a summery vibe, possibly a collaboration that's been produced by a known band.","In that case, 'Summer Time' by EnThéos featuring Deys would be an excellent choice. It's a track that captures the essence of summer with its electronic, Hip-Hop, and pop elements. The song is produced by a known band, which adds to its authenticity. It's a perfect fit for your video.","For a summery vibe with a distinguished collaboration, 'Summer Time' by EnThéos featuring Deys would be perfect. It's produced by Hot Chip, known for their eclectic mix of electronic, pop, and indie. The track has a lively feel, ideal for summer playlists, and it's part of the 'Dark and Stormy' album. Don't forget to check out the music video directed by Julius Jones-Carter for the full experience!",Summer Time,EnThéos featuring Deys would be perfect,0,prompt_text_changed_only_precomputed_text_feature_unchanged
123,iWKoFZAX4MM,iWKoFZAX4MM_dVoN7QajNz8,cf_upbeat_electronic,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.","I'm also looking for something with a summery vibe, possibly a collaboration that's been produced by a known band.","In that case, I recommend 'Summer Time' by EnThéos featuring Deys. This track combines elements of Hip-Hop, electronic, dance, pop, and rock genres. It has a fast-paced beat and a catchy rhythm that will create an energetic and modern dance vibe for your video.","For a summery vibe with a distinguished collaboration, 'Summer Time' by EnThéos featuring Deys would be perfect. It's produced by Hot Chip, known for their eclectic mix of electronic, pop, and indie. The track has a lively feel, ideal for summer playlists, and it's part of the 'Dark and Stormy' album. Don't forget to check out the music video directed by Julius Jones-Carter for the full experience!",Summer Time,EnThéos featuring Deys would be perfect,0,prompt_text_changed_only_precomputed_text_feature_unchanged
123,iWKoFZAX4MM,iWKoFZAX4MM_dVoN7QajNz8,cf_lyrical_piano,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","I'm also looking for something with a summery vibe, possibly a collaboration that's been produced by a known band.","Allow me to recommend 'Summer Time' by EnThéos featuring Deys. It's a track from the album 'Summer Time' and combines elements of Hip-Hop, electronic, pop, and rock. The song has a slow tempo and features lyrical piano, which creates a soothing and emotional atmosphere. It was released in 2014 and is available on iTunes.","For a summery vibe with a distinguished collaboration, 'Summer Time' by EnThéos featuring Deys would be perfect. It's produced by Hot Chip, known for their eclectic mix of electronic, pop, and indie. The track has a lively feel, ideal for summer playlists, and it's part of the 'Dark and Stormy' album. Don't forget to check out the music video directed by Julius Jones-Carter for the full experience!",Summer Time,EnThéos featuring Deys would be perfect,0,prompt_text_changed_only_precomputed_text_feature_unchanged
166,QKvUGxF7qzA,QKvUGxF7qzA_scdO5HE8so4,original,"That sounds good, but I would also like to incorporate some rock and punk elements in the music recommendation. I'm interested in fast-paced and loud tracks with guitar and techno influences.","That sounds good, but I would also like to incorporate some rock and punk elements in the music recommendation. I'm interested in fast-paced and loud tracks with guitar and techno influences.","Allow me to recommend 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines elements of rock, punk, and alternative with a fast-paced and loud sound. It has guitar and techno influences that could be a fitting choice for your video.","Let me suggest 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines rock, punk, and alternative rock genres with fast-paced guitar riffs and techno elements. This track can give your video a powerful and intense feel.",Stadt der Engel,Massendefekt,0,prompt_text_changed_only_precomputed_text_feature_unchanged
