sample_idx,video_id,gt_music_id,preference_variant,positive_hits,negative_hits,n_positive_hits,n_negative_hits,alignment_score,is_aligned,has_conflict,ESS_from_original,generated_text
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,cf_upbeat_electronic,pop;tempo,slow,2,1,1,1,1,0.41463414634146345,"In that case, I would recommend 'Youth' by Daughter. This track has a beautiful and melancholic sound with female vocals. It falls under the genres of indie, rock, and pop, and it has a slow tempo. It would be a perfect fit for your video."
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,cf_lyrical_piano,calm;emotional;melody;piano;sentimental,,5,0,5,1,0,0.5853658536585367,"In that case, I recommend 'Youth' by Daughter. This track has a beautiful and emotional piano melody that creates a soothing and introspective atmosphere. It's perfect for creating a calming and sentimental mood in your video."
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,cf_upbeat_electronic,bright;dance;electronic;energetic;rhythm,,5,0,5,1,0,0.7894736842105263,"In that case, I recommend 'TOPCRIMINAL' by Kapris. This track combines electronic, Hip-Hop, and dance genres, creating a fast-paced and energetic sound. It has a bright mood and clear rhythm, perfect for creating a lively atmosphere in your video."
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,cf_lyrical_piano,piano;sentimental;slow,electronic;hip-hop,3,2,1,1,1,0.7230769230769231,"I suggest checking out 'Love Is Blind' by R. Kelly. It's a track from his album 'Love Letter'. This song combines elements of Hip-Hop, electronic, and pop genres with a touch of rock. It has a slow tempo and features piano, which aligns with your preferences. The lyrics are about love and the music has a soothing and sentimental vibe."
123,iWKoFZAX4MM,iWKoFZAX4MM_dVoN7QajNz8,cf_upbeat_electronic,beat;dance;electronic;energetic;modern;pop;rhythm,,7,0,7,1,0,0.6440677966101696,"In that case, I recommend 'Summer Time' by EnThéos featuring Deys. This track combines elements of Hip-Hop, electronic, dance, pop, and rock genres. It has a fast-paced beat and a catchy rhythm that will create an energetic and modern dance vibe for your video."
123,iWKoFZAX4MM,iWKoFZAX4MM_dVoN7QajNz8,cf_lyrical_piano,emotional;lyrical;piano;slow,electronic;hip-hop,4,2,2,1,1,0.676923076923077,"Allow me to recommend 'Summer Time' by EnThéos featuring Deys. It's a track from the album 'Summer Time' and combines elements of Hip-Hop, electronic, pop, and rock. The song has a slow tempo and features lyrical piano, which creates a soothing and emotional atmosphere. It was released in 2014 and is available on iTunes."
166,QKvUGxF7qzA,QKvUGxF7qzA_scdO5HE8so4,cf_upbeat_electronic,beat;beats;bright;dance;electronic;energetic;modern;pop;rhythm;upbeat,,10,0,10,1,0,0.6875,"In that case, I would recommend 'Stadt der Engel' by Massendefekt. This track is from their album 'Stadt der Engel' and it perfectly captures the upbeat electronic vibe you're looking for. It has a bright mood, clear rhythm, energetic beats, and a modern dance or pop feel. It's a great choice for your video."
166,QKvUGxF7qzA,QKvUGxF7qzA_scdO5HE8so4,cf_lyrical_piano,lyrical;piano;sentimental;slow,electronic,4,1,3,1,1,0.4814814814814815,"Allow me to recommend 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines elements of rock, alternative, and indie with a touch of electronic. It has a slow tempo and features lyrical piano, which can create a soothing and sentimental atmosphere for your video."
215,yyaNJKJ6y6k,yyaNJKJ6y6k_0hMrj3zZxB8,cf_upbeat_electronic,beat;bright;electronic;energetic;tempo,,5,0,5,1,0,0.6842105263157895,"In that case, 'The Pretender' by Infected Mushroom would be an excellent choice. It's an electronic track with a fast tempo and a catchy beat. The song has a bright and energetic vibe, perfect for creating a lively atmosphere in your video."
215,yyaNJKJ6y6k,yyaNJKJ6y6k_0hMrj3zZxB8,cf_lyrical_piano,acoustic;calm;sentimental;slow,electronic,4,1,3,1,1,0.6451612903225806,"Allow me to recommend 'The Pretender' by Infected Mushroom. It's a track from their album 'The Pretender'. This song combines elements of electronic, rock, and indie genres with a touch of pop. It has a slow tempo and a soothing acoustic texture, which can create a calm and sentimental mood for your video."
256,JOUczfMaLTE,JOUczfMaLTE_F91pQy19-j0,cf_upbeat_electronic,beat;bright;dance;electronic;energetic;pop,,6,0,6,1,0,0.6481481481481481,"In that case, I would recommend 'Fe' by Juaninacka. This track combines elements of Hip-Hop, electronic, dance, pop, and rock genres. It has a fast-paced beat and a bright mood that will give your video a lively and energetic feel."
256,JOUczfMaLTE,JOUczfMaLTE_F91pQy19-j0,cf_lyrical_piano,acoustic;gentle;sentimental;slow,electronic;hip-hop,4,2,2,1,1,0.5294117647058824,"Allow me to recommend 'Fe' by Juaninacka. It's a track from his album 'Fe'. The song combines elements of Hip-Hop, electronic, and rock with a touch of pop. It has a slow tempo and a soothing acoustic texture, creating a gentle and sentimental mood."
261,dLkm-Bpkgv4,dLkm-Bpkgv4_Hwl1Bf4gLvI,cf_upbeat_electronic,dance;electronic;energetic;modern;pop;rhythm,,6,0,6,1,0,0.6774193548387097,"Allow me to recommend 'Also Am I' by 36 Crazyfists. It's a track from their album 'Also Am I'. This song combines elements of rock, metal, and electronic genres, with a fast-paced and energetic sound. It has a clear rhythm and a modern dance or pop feel that could be a fitting choice for your video."
261,dLkm-Bpkgv4,dLkm-Bpkgv4_Hwl1Bf4gLvI,cf_lyrical_piano,acoustic;slow,electronic,2,1,1,1,1,0.6666666666666667,"Allow me to recommend 'Also Am I' by 36 Crazyfists. It's a track from their album 'Also Am I'. This song combines elements of rock, metal, and alternative with a touch of electronic and indie influences. It has a slow tempo and a soothing acoustic sound that could be a fitting choice for your video."
307,DL3dhkazIc8,DL3dhkazIc8_tQjxTUSkOqs,cf_upbeat_electronic,beat;dance;electronic;energetic;modern;pop,,6,0,6,1,0,0.625,"In that case, I recommend 'Sick Perfect Banger' by Redhooknoodles. This track combines elements of Hip-Hop, electronic, pop, and dance genres. It has a fast-paced beat and a modern sound that will give your video a vibrant and energetic feel."
307,DL3dhkazIc8,DL3dhkazIc8_tQjxTUSkOqs,cf_lyrical_piano,acoustic;calm;lyrical;piano;sentimental;slow,electronic;hip-hop,6,2,4,1,1,0.6181818181818182,"Allow me to recommend 'Sick Perfect Banger' by Redhooknoodles. It's a hip-hop track with electronic and rock influences. The song has a slow tempo and features lyrical piano, which aligns well with your preferences. The acoustic elements and the calm and sentimental mood of the music make it a fitting choice for your video."
310,9wVRNILwL4I,9wVRNILwL4I_yp0PNekX4vI,cf_upbeat_electronic,beat;beats;bright;dance;electronic;energetic;pop,melody,7,1,6,1,1,0.40476190476190477,"In that case, I recommend 'Unchained Melody-917' by SINIMA BEATS. This track combines elements of Hip-Hop, electronic, pop, and dance genres. It has a fast-paced beat and a bright mood that will give your video a lively and energetic feel."
310,9wVRNILwL4I,9wVRNILwL4I_yp0PNekX4vI,cf_lyrical_piano,acoustic;calm;gentle;lyrical;melody;piano;sentimental;slow;soft,beat;beats,9,2,7,1,1,0.7413793103448276,"Allow me to recommend 'Unchained Melody-917' by SINIMA BEATS. It's a track with lyrical piano background music that aligns well with your preferences. The song has a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood. It's a perfect choice for your video."
313,z7Dy7s5tg2o,z7Dy7s5tg2o_ziYVQWdqAEM,cf_upbeat_electronic,beat;dance;electronic;energetic;modern;pop;tempo,,7,0,7,1,0,0.7258064516129032,"In that case, I recommend 'Sun Goes Down' by David Guetta. This track is a perfect fit for your video as it falls under the genres of dance, electronic, house, pop, and electro. It has a fast tempo and a catchy beat that will create an energetic and modern atmosphere for your video."
313,z7Dy7s5tg2o,z7Dy7s5tg2o_ziYVQWdqAEM,cf_lyrical_piano,,dance;electronic;energetic,0,3,-3,0,1,0.7758620689655172,"I suggest checking out the track 'Love Is Alive' by David Guetta. It's a dance and electronic song with elements of pop and house. The track has a fast tempo and a loud sound, which aligns well with the energetic vibe you're looking for."
323,7KnEzXBwovQ,7KnEzXBwovQ_VdzigTcir9U,cf_upbeat_electronic,beat;dance;electronic;energetic;modern;pop,melody,6,1,5,1,1,0.7321428571428572,"In that case, I recommend '너 때문에' by 2PM. This track combines elements of pop, dance, electronic, and rock genres. It has a fast-paced beat and a catchy melody that will create an energetic and modern vibe for your video."
323,7KnEzXBwovQ,7KnEzXBwovQ_VdzigTcir9U,cf_lyrical_piano,emotional;slow,electronic,2,1,1,1,1,0.7,"In that case, I recommend 'Love Is' by 2PM. This track has a pop and electronic sound with elements of rock and indie. It features a male vocalist and has a slow tempo, which creates a soothing and emotional atmosphere. The lyrics are written by 2PM and the music video was directed by 2PM."
326,Nun6L-ahGL8,Nun6L-ahGL8_nbchhRSriRg,cf_upbeat_electronic,beat;beats;dance;electronic;energetic;modern;pop;rhythm,,8,0,8,1,0,0.6037735849056604,"In that case, I recommend 'My World' by Kokane. This track combines elements of Hip-Hop, electronic, and pop genres, creating a vibrant and energetic sound. It has a clear rhythm and energetic beats that will add a modern dance or pop feel to your video."
326,Nun6L-ahGL8,Nun6L-ahGL8_nbchhRSriRg,cf_lyrical_piano,acoustic;calm;gentle;melody;sentimental;slow,electronic;hip-hop,6,2,4,1,1,0.6296296296296297,"In that case, I recommend 'My World' by Kokane. This track combines elements of Hip-Hop, R&B, and electronic music with a slow tempo and a soothing acoustic texture. It has a gentle melody and a calm sentimental mood that would be perfect for your video."
348,6WpF3T7_-WY,6WpF3T7_-WY_334K3xDT5OU,cf_upbeat_electronic,beat;dance;electronic;energetic;pop;rhythm,,6,0,6,1,0,0.5384615384615384,"In that case, I recommend 'Poser' by Diez Mo feat. It's a track from the album 'Poser' and combines elements of Hip-Hop, electronic, R&B, dance, and pop. The song has a fast-paced beat and a catchy rhythm that will give your video a lively and energetic feel."
348,6WpF3T7_-WY,6WpF3T7_-WY_334K3xDT5OU,cf_lyrical_piano,acoustic;calm;gentle;melody;sentimental;slow,electronic;hip-hop,6,2,4,1,1,0.5517241379310345,"Allow me to recommend 'Poser' by Diez Mo feat. It's a track from the album 'Poser' by Diez Mo. The song combines elements of Hip-Hop, R&B, and electronic music with a slow tempo and a soothing acoustic texture. It has a gentle melody and a calm sentimental mood that could be a fitting choice for your video."
357,aXgXFr89wpY,aXgXFr89wpY_5cdy3zeBS0w,cf_upbeat_electronic,beat;bright;dance;electronic;energetic;pop,,6,0,6,1,0,0.607843137254902,"In that case, I recommend 'Vampires' by Da Messenger ft; 24hrs. This track combines elements of Hip-Hop, electronic, dance, pop, and rock. It has a fast-paced beat and a bright mood that will give your video a lively and energetic feel."
357,aXgXFr89wpY,aXgXFr89wpY_5cdy3zeBS0w,cf_lyrical_piano,acoustic;calm;sentimental;slow,electronic;hip-hop,4,2,2,1,1,0.5185185185185186,"Allow me to recommend 'Vampires' by Da Messenger ft; 24hrs. It's a track from their album 'Vampires'. The song combines elements of Hip-Hop, R&B, and electronic music with a slow tempo and a soothing acoustic texture. It has a calm and sentimental mood that could be a fitting choice for your video."
358,4ldBWUbiDTM,4ldBWUbiDTM_bs9xnYfKAQA,cf_upbeat_electronic,bright;dance;electronic;energetic;modern;pop;rhythm,,7,0,7,1,0,0.7096774193548387,"In that case, I would recommend 'Mentimi' by La Crus. This track combines elements of rock, pop, and electronic music, creating a catchy and energetic sound. It has a bright mood and clear rhythm, making it perfect for a video with a modern dance or pop feel."
358,4ldBWUbiDTM,4ldBWUbiDTM_bs9xnYfKAQA,cf_lyrical_piano,acoustic;calm;gentle;lyrical;melody;piano;sentimental;slow;soft,,9,0,9,1,0,0.728813559322034,"In that case, I recommend 'Mentimi' by La Crus. This track has a lyrical piano background with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood. It's part of the album 'Mentimi' and was released in 2009."
364,XKMGhFjOoXg,XKMGhFjOoXg_Mbau7DWaexI,cf_upbeat_electronic,beat;dance;electronic;energetic;modern;pop;rhythm;upbeat,,8,0,8,1,0,0.5925925925925926,"In that case, I would recommend 'Zemsta' by Mezo. This track combines elements of Hip-Hop, rock, pop, and electronic music. It has a fast-paced and energetic vibe, with a clear rhythm and modern dance influences. It's perfect for creating a lively and upbeat atmosphere in your video."
364,XKMGhFjOoXg,XKMGhFjOoXg_Mbau7DWaexI,cf_lyrical_piano,acoustic;calm;gentle;lyrical;piano;sentimental;slow;soft,,8,0,8,1,0,0.6909090909090909,"I recommend 'Zemsta' by Mezo. It's a track from the album 'Zemsta' and features lyrical piano and acoustic elements. The song has a slow tempo and a soft acoustic texture, creating a gentle and sentimental mood. It aligns well with your preferences for lyrical piano background music with a slow tempo and a calm sentimental mood."
410,q5bry6xHfxc,q5bry6xHfxc_TxqJOm0601k,cf_upbeat_electronic,beat;bright;electronic;energetic;pop,,5,0,5,1,0,0.6346153846153846,"In that case, I would recommend 'Karma' by J-Blaze featuring HD. This track combines elements of Hip-Hop, electronic, rock, and pop genres. It has a fast-paced beat and a bright mood that will give your video a lively and energetic feel."
410,q5bry6xHfxc,q5bry6xHfxc_TxqJOm0601k,cf_lyrical_piano,acoustic;calm;emotional;gentle;lyrical;melody;piano;sentimental;slow,electronic;hip-hop,9,2,7,1,1,0.7049180327868853,"In that case, I recommend 'Karma' by J-Blaze featuring HD. This track combines elements of Hip-Hop, R&B, and electronic music with a touch of rock. It has a lyrical piano background and a slow tempo, creating a soothing and emotional atmosphere. The acoustic texture and gentle melody add to the calm and sentimental mood."
412,b5QuBBHUgSQ,b5QuBBHUgSQ_51EjCZjDzWA,cf_upbeat_electronic,beat;dance;electronic;modern;pop,,5,0,5,1,0,0.6896551724137931,"In that case, I would recommend 'Gloria Clemente / Mind Frame '13 by Ads Antalik'. This track combines elements of Hip-Hop, electronic, rock, dance, and pop genres. It has a fast-paced beat and a modern dance or pop feel that will add energy to your video."
412,b5QuBBHUgSQ,b5QuBBHUgSQ_51EjCZjDzWA,cf_lyrical_piano,acoustic;calm;gentle;lyrical;melody;piano;sentimental;slow;soft,electronic;hip-hop,9,2,7,1,1,0.7926829268292683,"Allow me to recommend 'Lyrical Piano Background Music with a Slow Tempo, Soft Acoustic Texture, Gentle Melody, and a Calm Sentimental Mood'. Although I don't have specific information about the track name, album name, or artists, I can provide a description that matches your preferences. This track is classified as Hip-Hop, rock, electronic, indie, and alternative, which aligns with your desired music style. It has a slow tempo and a soothing acoustic sound that can create a calm and sentimental atmosphere in your video"
