sample_idx,video_id,condition,claim_id,claim_text,rule_claim_type,rule_support_source,rule_is_supported,generated_text,human_claim_type,human_support_source,human_is_supported,human_notes
2058,btRS8oEZTps,wo_audio_feature_only,4,rock elements you're looking for.,prompt,prompt-supported,1,"I recommend 'MobSquad Carroll' by MobSquad Carroll. It's a track that combines elements of MobSquad Carroll with hip-hop and rock influences. Although I don't have specific information about this track, it may contain the hip-hop and rock elements you're looking for.",prompt,prompt-supported,1,agree: prompt available
3256,cqoeZEweGy4,wo_audio_all,2,R&B elements in my video.,unknown,unsupported,0,"I apologize for my lack of hip-hop and R&B elements in my video. I'm sorry I don't have any specific recommendations for you. However, I can suggest exploring the hip-hop and R&B elements in the music you're considering. Hip-hop and R&B elements are important components of hip-hop music, and they can add a unique and distinctive touch to your video.",unknown,unsupported,0,agree: property claim unsupported in erased condition
123,iWKoFZAX4MM,wo_audio_feature_only,3,It's a blend of Hip-Hop,audio,audio-supported,0,"In that case, I would recommend 'The Wedding Song' by The Wedding Presents. This track is a collaboration between The Wedding Presents and The Wedding Presents. It's a blend of Hip-Hop and electronic music with a mix of genres like pop, rock, and dance. The Wedding Presents is a unique blend of Hip-Hop and electronic music with a mix of genres like pop, rock, and dance. It's a collaboration between The Wedding Presents and The Wedding Presents, which is a blend of Hip-H",audio,audio-supported,0,agree with rule on audio claim
310,9wVRNILwL4I,wo_video,1,"In that case, I would recommend 'The Making of a Murderer' by The Making of a Murderer.",metadata,metadata-supported,1,"In that case, I would recommend 'The Making of a Murderer' by The Making of a Murderer. This track combines elements of Hip-Hop, electronic, and pop with a fast beat. It has a unique and experimental sound that will add an interesting touch to your video.",metadata,metadata-supported,1,agree: metadata-supported claim
3135,yCDcZ9UtIWg,wo_prompt,4,"rock, with a touch of indie influences.",audio,audio-supported,1,"I recommend 'Pété Les Caisson' by Sorrow feat M. It's a track from their album 'Pété Les Caisson'. The song combines elements of Hip-Hop, electronic, pop, and rock, with a touch of indie influences. It has a fast-paced and energetic vibe that could be a great fit for your video.",audio,audio-supported,1,agree with rule on audio claim
348,6WpF3T7_-WY,wo_video,4,"Although I don't have much information about this track, it aligns well with the style you're looking for.",prompt,prompt-supported,1,"I recommend 'Diez Mo' by Diez Mo. It's a track that combines elements of hip-hop, electronic, and soul with a dance vibe. Although I don't have much information about this track, it aligns well with the style you're looking for.",prompt,prompt-supported,1,agree: prompt available
3715,HalzeiAqMCs,wo_ltp,11,and is for morning.,unknown,unsupported,0,. is is for. is is for. is is for. and is for the city. and is for the city. and is is for the city. and the city. is for the city. is for the city. and is for the city. is for the city. and is for the city. and is for the city. and is much morning. and is for morning. and is for morning. and that's for morning. at the morning. to morning. to the. and that is. that. and that. that. that. to the. that. to the the morning. to the the morning,unknown,unsupported,0,agree: property claim unsupported in erased condition
3317,yN6J9nQSaJw,wo_video,2,"It's a track that combines elements of hip-hop, R&B",audio,audio-supported,1,"Certainly! I recommend 'My Life' by YOUNG D. It's a track that combines elements of hip-hop, R&B, and electronic music. Although I don't have much information about this track, it seems to align with the genres you're interested in.",audio,audio-supported,1,agree with rule on audio claim
2658,vIaH35-MLsk,wo_ltp,1,<EMPTY_GENERATION>,unknown,unsupported,0,. is is is. is is. is is. is is. is. is. is. is. is. and. is. is. and. is. and was. and was.????????????????????????????????????????????????????????????????????????????????????????,unknown,unsupported,0,agree: property claim unsupported in erased condition
4053,RtN6hQUg_8A,wo_video,1,"In that case, I would recommend 'Chaos & Mayhem by Max T Surla'.",metadata,metadata-supported,1,"In that case, I would recommend 'Chaos & Mayhem by Max T Surla'. This track has an electro and house influence, which aligns with your preference. It's a great choice for events and has been used in cool events.",metadata,metadata-supported,1,agree: metadata-supported claim
