case_category,sample_idx,video_id,gt_music_id,top1_music_id,top1_is_gt,rank,R@1,R@5,R@10,bertscore_f1,infolm_l2_distance,metadata_unsupported_rate,metadata_unsupported_count,metadata_claim_count,music_title,music_artist,user_text,generated_text,reference_text,top1_reference_text,manual_case_label,manual_error_source,manual_notes
success_high_alignment,2001,0mm-5PZ2Ht4,0mm-5PZ2Ht4_esa0H2JC5Mo,0mm-5PZ2Ht4_esa0H2JC5Mo,1,1,1,1,1,0.9488375782966614,0.0,0.5000,1,2,"Żyjesz Szybko, Umierasz Młodo",Fabuła,"That sounds great, but I also want to incorporate some hip-hop and pop elements into the music. Do you have any recommendations that fit that description?","Certainly! How about 'Żyjesz Szybko, Umierasz Młodo' by Fabuła? It's a hip-hop track with electronic and pop influences. The song has a fast-paced beat and catchy melodies that could add a dynamic and energetic vibe to your video.","Certainly! How about 'Żyjesz Szybko, Umierasz Młodo' by Fabuła? It's a hip-hop track with electronic and pop influences. The song has catchy instrumentals and a male vocal performance. It could add a dynamic and vibrant element to your video.","Certainly! How about 'Żyjesz Szybko, Umierasz Młodo' by Fabuła? It's a hip-hop track with electronic and pop influences. The song has catchy instrumentals and a male vocal performance. It could add a dynamic and vibrant element to your video.",,,
success_high_alignment,2958,cViUURytFYk,cViUURytFYk_G__GL1Basyk,cViUURytFYk_G__GL1Basyk,1,1,1,1,1,0.9457220435142517,0.0,0.5000,1,2,Count on Me,Bruno Mars,"That sounds great, but I would like to incorporate Bruno Mars' style into my video. I'm looking for a track with acoustic and folk elements, along with rock and pop influences. Female vocals would be a bonus.","Allow me to recommend 'Count on Me' by Bruno Mars. It's a track from his album 'Count on Me'. This song combines acoustic, folk, rock, and pop elements, with female vocals. It has a heartfelt and emotional vibe that could be a fitting choice for your video.","Allow me to recommend 'Count on Me' by Bruno Mars. It's a track from his album 'Count on Me'. It combines acoustic, folk, rock and pop elements with powerful female vocals. The song has a heartfelt and uplifting vibe that could enhance your video.","Allow me to recommend 'Count on Me' by Bruno Mars. It's a track from his album 'Count on Me'. It combines acoustic, folk, rock and pop elements with powerful female vocals. The song has a heartfelt and uplifting vibe that could enhance your video.",,,
success_high_alignment,1634,2mRrXQfI-zQ,2mRrXQfI-zQ_cUeVGctTaFM,2mRrXQfI-zQ_cUeVGctTaFM,1,1,1,1,1,0.9431572556495667,0.0,0.0000,0,2,Garde la pêche,Booba,"That sounds interesting, I like the hip-hop and electronic types in your music recommendations. But I would like to incorporate a bit more of Booba's distinctive style, especially their experimental and female vocal components. I'm also interested in the rock and beat influences.","Allow me to recommend 'Garde la pêche' by Booba. It's a track from their album 'Garde la pêche'. It combines elements of hip-hop, electronic, and rock with experimental and female vocal influences. The song also has a strong beat and rock vibe that could be a fitting choice for your video.","Allow me to recommend 'Garde la pêche' by Booba. It's a track from his album 'Garde la pêche'. It combines elements of hip-hop, electronic, and rock with experimental and female vocalists. The song has a techno and beat-driven sound that could be a fitting choice for your video.","Allow me to recommend 'Garde la pêche' by Booba. It's a track from his album 'Garde la pêche'. It combines elements of hip-hop, electronic, and rock with experimental and female vocalists. The song has a techno and beat-driven sound that could be a fitting choice for your video.",,,
success_high_alignment,3078,EIy0RiZq87s,EIy0RiZq87s_Y5Uh2yuzhgo,EIy0RiZq87s_Y5Uh2yuzhgo,1,1,1,1,1,0.9388226866722107,0.0,0.0000,0,1,Alguien Soy Yo,Enrique Iglesias,"That sounds great, but I would like to incorporate a bit more of Enrique Iglesias's distinctive style, especially his rock and pop components. I'm also interested in female vocals and indie influences.","Allow me to recommend 'Alguien Soy Yo' by Enrique Iglesias. It's a track from his album 'Alguien Soy Yo'. It combines elements of rock, pop, and indie with female vocals. This song may be a fitting choice for your video.","Allow me to recommend 'Alguien Soy Yo' by Enrique Iglesias. It's a track from his album 'Alguien Soy Yo'. It combines elements of rock, pop, and indie with female vocals. It has a guitar-focused sound and a mix of alternative influences. This song could be a fitting choice for your video.","Allow me to recommend 'Alguien Soy Yo' by Enrique Iglesias. It's a track from his album 'Alguien Soy Yo'. It combines elements of rock, pop, and indie with female vocals. It has a guitar-focused sound and a mix of alternative influences. This song could be a fitting choice for your video.",,,
success_high_alignment,373,i-HtUuzHKTE,i-HtUuzHKTE_mFFH3HM3Rzg,i-HtUuzHKTE_mFFH3HM3Rzg,1,1,1,1,1,0.9376680254936218,0.0,0.0000,0,2,Believer,Sandlot Heroes,"Sounds interesting, but I'm looking for a track with more of a pop-rock vibe and a male vocalist.","In that case, I would recommend 'Believer' by Sandlot Heroes. This track has a pop-rock sound with elements of alternative and indie. It features a male vocalist and would be a great fit for your video.","In that case, I would recommend 'Believer' by Sandlot Heroes. This track has a pop-rock sound with elements of alternative rock and indie. It features a male vocalist and has a catchy and energetic vibe. It would work well for your video.","In that case, I would recommend 'Believer' by Sandlot Heroes. This track has a pop-rock sound with elements of alternative rock and indie. It features a male vocalist and has a catchy and energetic vibe. It would work well for your video.",,,
success_high_alignment,95,a-pYG7ZCLj0,a-pYG7ZCLj0_fS_hoy6Zhos,a-pYG7ZCLj0_fS_hoy6Zhos,1,1,1,1,1,0.9375485181808472,0.07629071921110153,0.5000,1,2,"re looking for a track with a more electronic and dance vibe, I would recommend 'Will You Be Mine Tonight?",TonyG,"Sounds interesting, but I'm looking for something with a more electronic and dance vibe. Can you recommend something like that?","Certainly! If you're looking for a track with a more electronic and dance vibe, I would recommend 'Will You Be Mine Tonight? by TonyG'. This track falls under the electronic, dance, and pop genres, and it has a catchy beat and energetic sound. It would be a great fit for your video.","Sure! If you're looking for a track with a more electronic and dance vibe, I would recommend 'Will You Be Mine Tonight?' by TonyG. This track falls under the electronic, dance, pop, rock, and indie genres. It has a catchy beat and upbeat energy that would be perfect for your video.","Sure! If you're looking for a track with a more electronic and dance vibe, I would recommend 'Will You Be Mine Tonight?' by TonyG. This track falls under the electronic, dance, pop, rock, and indie genres. It has a catchy beat and upbeat energy that would be perfect for your video.",,,
failure_ranking_miss,13,tu-n5fUfjc4,tu-n5fUfjc4_8fCX0dDDWnM,F6bEuw-MKsw_UCHSW-nQXpE,0,214,0,0,0,0.8317095041275024,0.14462751150131226,1.0000,1,1,JIIW HD,Fata EL PResidente,That sounds great! I'm looking for a track with a similar hip-hop and electronic style like Yojee's 'En Attendant JOY&PAIN'. It would be ideal if the song also incorporates indie and rock influences.,"Allow me to recommend 'En Attendant JOY&PAIN' by Yojee. It's a track from his album 'JOY&PAIN'. The song combines elements of hip-hop, electronic, indie, and rock genres. It has a unique blend of styles that could be a fitting choice for your video.","Let me suggest 'En Attendant JOY&PAIN' by Yojee. It's a track from Yojee's upcoming album 'JOY & PAIN'. It combines elements of hip-hop, electronic, dance, and pop music. The song was recorded in 2013 and may contain the specific style and influences you're looking for.","I suggest you check out 'JIIW HD' by Fata EL PResidente. It's a track from his album 'IQRA 2014' and combines elements of hip-hop, rock, and indie music. This track might be a fitting choice to incorporate Fata EL PResidente's unique style into your video.",,,
failure_ranking_miss,871,Idy-4F8iTH4,Idy-4F8iTH4_ExfeLj_vNyo,7eZ4cAFDSgA_oZJ2CsSxvNw,0,193,0,0,0,0.7800001502037048,0.2102777659893036,0.6667,2,3,Nádhera,Strapo featuring DJ Spinhandz,"Sounds good, but I'm looking for something more electronic and dance-oriented with a pop and hip-hop influence.","In that case, I would recommend 'Nádhera' by Strapo featuring DJ Spinhandz. This track combines electronic, pop, and hip-hop elements, creating a dance-oriented sound. It has a catchy beat and a vibrant energy that will add excitement to your video.","In that case, I would recommend 'RENEKLEVELAND.BLOGG.NO - SLIK FOLK DANSER PÅ BYN'. This track has an electronic and dance sound with elements of pop and hip-hop. It's perfect for creating a vibrant and energetic atmosphere in your video.","Allow me to recommend 'Nádhera' by Strapo featuring DJ Spinhandz. It's a track from Strapo's album '23' and incorporates elements of hip-hop, electronic, pop, and rock. The song also has ambient undertones that could add a unique atmosphere to your video.",,,
failure_ranking_miss,941,aEUaGjIxq08,aEUaGjIxq08_TnyeIvuVF9g,IMZ-mAu5SB4_QYlyDvT7UPw,0,158,0,0,0,0.710812509059906,0.3099062144756317,0.5000,1,2,,,"That sounds great, but I'm also interested in incorporating elements of DJ Burn One's style into the music. Can you recommend a track that combines hip-hop, electronic, and rock genres?","I suggest checking out 'Burn One' by DJ Burn One. It's a track from his album 'Burn One'. The song combines elements of hip-hop, electronic, and rock genres, which aligns well with the style you're looking for. It has a fast-paced beat and features male vocals.",Allow me to recommend the track 'MoTioN PiCTuRe' by @CSHOT. It's a hip-hop and electronic-influenced song with elements of blues and rock. The track is from DJ Burn One's album 'The Ashtray'. It has a chillout vibe and could be a fitting choice for your video.,"Allow me to recommend the track 'spugy B music video view 1'. It's a track with pop, indie, and rock influences. Although there is no specific information available in the description, it aligns well with your preference for pop, indie, and rock. It may also have electronic and hip-hop elements. However, please note that there is no specific information available about vocals, female vocals, or drums.",,,
failure_ranking_miss,2159,5xwU4mZJO0U,5xwU4mZJO0U_S0VhJOFYflo,BPflqpsiNV4_FPXWAxHz470,0,121,0,0,0,0.6883054971694946,0.2724587619304657,1.0000,2,2,24-7-365,Reportero,"That sounds great! I really like the rock and electronic fusion in your recommendations. However, I would like to incorporate some hip-hop and pop elements into the music as well. Do you have any suggestions?","Allow me to recommend '24-7-365' by Reportero. It's a track from their album '24-7-365'. The song combines elements of hip-hop, pop, and rock with electronic beats. It has a fast-paced and energetic vibe that could be a fitting choice for your video.","Allow me to recommend 'Kung Fu' by Critical featuring DJ Tin Ho & MastaMic. It's a collaboration between Swedish rapper Critical, DJ Tin Ho, and MastaMic from Hong Kong. Although I couldn't find specific details about the track, based on the artists involved, it's likely to have elements of hip-hop, electronic, and pop. This track may add some diversity to your video project.","Allow me to recommend '24-7-365' by Reportero. Although I don't have much information about this track, based on its tags (Hip-Hop, rock, pop, dance, 90s) it could be a fitting choice for your video. It may contain the specific elements you want from the 90s era, including dance and rock influences. It could also have a catchy beat.",,,
