sample_idx,video_id,gt_music_id,preference_variant,positive_hits,negative_hits,n_positive_hits,n_negative_hits,alignment_score,is_aligned,has_conflict,ESS_from_original,generated_text,llm_is_aligned,llm_has_conflict,llm_alignment_strength,llm_reason,llm_raw,rule_is_aligned,rule_has_conflict,agree_is_aligned,agree_has_conflict
1395,ufnqxvG8TZ4,ufnqxvG8TZ4_t4zXT4mcPUI,cf_lyrical_piano,acoustic;calm;sentimental;slow,electronic;hip-hop,4,2,2,1,1,0.7142857142857143,"I suggest checking out 'Zwoardduel' by Samoerai. It's a track from their album 'Zwoardduel'. The song combines elements of Hip-Hop, electronic, rock, and indie with a touch of pop. It has a slow tempo and a soothing acoustic sound that could create a calm and sentimental atmosphere for your video.",1,1,moderate,"The explanation matches the counterfactual preference's lyrical piano music and slow tempo, but conflicts with electronic and hip-hop elements.","{
  ""is_aligned"": true,
  ""has_conflict"": true,
  ""alignment_strength"": ""moderate"",
  ""reason"": ""The explanation matches the counterfactual preference's lyrical piano music and slow tempo, but conflicts with electronic and hip-hop elements.""
}",1,1,1,1
3936,brSk7jSBrUo,brSk7jSBrUo_Uf0v56xKJtU,cf_lyrical_piano,acoustic;calm;sentimental;slow,electronic;hip-hop,4,2,2,1,1,0.7301587301587302,"I suggest checking out 'Kiss Your Ass Goodbye' by Sheek Louch. It's a track from the album 'Kiss Your Ass Goodbye' and features a mix of Hip-Hop, electronic, rock, and pop genres. The song has a slow tempo and a soothing acoustic texture, which can create a calm and sentimental mood for your video.",0,1,moderate,"The explanation mentions electronic and hip-hop genres, which conflict with the user's preference for lyrical piano music.","{
""is_aligned"": false,
""has_conflict"": true,
""alignment_strength"": ""moderate"",
""reason"": ""The explanation mentions electronic and hip-hop genres, which conflict with the user's preference for lyrical piano music.""
}",1,1,0,1
1603,l3IbMrnSJtM,l3IbMrnSJtM_1JLiGvkrL0s,cf_lyrical_piano,acoustic;calm;gentle;melody;sentimental;slow;soft,,7,0,7,1,0,0.7936507936507937,"In that case, I recommend '太陽と月' by Shoko Furukawa & Albert Takagi. This track is a beautiful song with lyrics that express the love between a mother and her child. It has a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood that would be perfect for your video.",1,0,strong,"The generated explanation matches the counterfactual preference in terms of tempo, texture, melody, and mood.","{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The generated explanation matches the counterfactual preference in terms of tempo, texture, melody, and mood.""
}",1,0,1,1
1528,lXhW9YQhkEU,lXhW9YQhkEU_tGlKac8RVS4,cf_lyrical_piano,acoustic;calm;gentle;melody;sentimental;slow;soft,electronic,7,1,6,1,1,0.6935483870967742,"In that case, I recommend 'Morning Sun' by Strange Talk. This track has a perfect blend of electronic, rock, and pop elements, with a touch of indie influence. The lyrics are captivating and the music has a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood. It's a great choice for your video.",1,0,strong,"The recommendation 'Morning Sun' by Strange Talk matches the counterfactual preference for lyrical piano music with slow tempo, soft acoustic texture, gentle melody, and calm sentimental mood.","{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation 'Morning Sun' by Strange Talk matches the counterfactual preference for lyrical piano music with slow tempo, soft acoustic texture, gentle melody, and calm sentimental mood.""
}",1,1,1,0
4053,RtN6hQUg_8A,RtN6hQUg_8A_uASCrVnpPG0,cf_lyrical_piano,,beat;dance;electronic;techno,0,4,-4,0,1,0.734375,"Allow me to recommend 'Scary Monsters and Nice Sprites' by Skrillex. It's a track from his album 'Scary Monsters and Nice Sprites'. This song combines electronic and dance elements with a touch of rock and indie influences. It has a fast-paced techno beat and a loud sound, which may not align with your preferences.",0,1,weak,"The recommendation features electronic and techno elements, which conflict with the user's preference for soft acoustic texture and slow tempo.","{
  ""is_aligned"": false,
  ""has_conflict"": true,
  ""alignment_strength"": ""weak"",
  ""reason"": ""The recommendation features electronic and techno elements, which conflict with the user's preference for soft acoustic texture and slow tempo.""
}",0,1,1,1
3673,h5Dl5y6er04,h5Dl5y6er04_rHV4SRg0aSU,cf_lyrical_piano,lyrical;piano;sentimental;slow,,4,0,4,1,0,0.703125,"Allow me to recommend 'Ezra' by David R Black. It's a track from his album 'Ezra'. The song combines elements of rock, indie, and alternative with a touch of punk. It has a slow tempo and features lyrical piano, which can create a soothing and sentimental atmosphere for your video.",1,0,strong,The recommendation matches the counterfactual preference for lyrical piano music with a slow tempo and sentimental mood.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation matches the counterfactual preference for lyrical piano music with a slow tempo and sentimental mood.""
}",1,0,1,1
916,kqK-Ovwua30,kqK-Ovwua30_OdsKCY4_gc0,cf_lyrical_piano,lyrical;piano;sentimental;slow,electronic,4,1,3,1,1,0.6101694915254237,"Allow me to recommend 'Tree of Life' by Rix. It's a track from their album 'Tree of Life'. This song combines elements of rock, pop, and indie with a touch of electronic and jazz influences. It has a slow tempo and features lyrical piano, which can create a soothing and sentimental atmosphere for your video.",1,0,strong,The recommendation matches the user's preference for lyrical piano music with a slow tempo and sentimental mood.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation matches the user's preference for lyrical piano music with a slow tempo and sentimental mood.""
}",1,1,1,0
2088,ZRntURxcjYg,ZRntURxcjYg_dapK0eqVQQU,cf_lyrical_piano,emotional;lyrical;piano;slow,,4,0,4,1,0,0.47916666666666663,"Allow me to recommend 'Sakuramitsutsuki' by SPYAIR. It's a track from their album 'Sakuramitsutsuki'. The song combines elements of rock, indie, and alternative with a touch of pop. It has a slow tempo and features lyrical piano, which creates a soothing and emotional atmosphere.",1,0,strong,The recommendation aligns well with the counterfactual preference for lyrical piano music with a slow tempo and calm sentimental mood.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation aligns well with the counterfactual preference for lyrical piano music with a slow tempo and calm sentimental mood.""
}",1,0,1,1
3048,LAzK2fmfNoU,LAzK2fmfNoU_M5qG-NBjRck,cf_lyrical_piano,lyrical;piano;sentimental;slow,dance;electronic,4,2,2,1,1,0.4821428571428571,"Allow me to recommend 'No Way Home' by Richard Durand. It's a track from his album 'No Way Home'. This song combines elements of dance, electronic, and pop genres with a touch of rock. It has a slow tempo and features lyrical piano, which can create a soothing and sentimental atmosphere for your video.",1,0,strong,The recommendation matches the counterfactual preference for lyrical piano music with a slow tempo and sentimental mood.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation matches the counterfactual preference for lyrical piano music with a slow tempo and sentimental mood.""
}",1,1,1,0
1083,IzsgBQQmV5w,IzsgBQQmV5w_-bpv_MI1RFY,cf_lyrical_piano,acoustic;calm;gentle;lyrical;melody;piano;sentimental;slow;soft,electronic;hip-hop,9,2,7,1,1,0.7313432835820896,"I understand your preference for lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood. In that case, I recommend 'Dans Ma Téte' by Jhr. This track combines elements of Hip-Hop, electronic, pop, and rock genres, with a touch of indie and alternative influences. It has a relaxing and introspective vibe that could complement your video.",0,1,weak,"The recommendation 'Dans Ma Téte' by Jhr. has electronic and hip-hop elements, which conflict with the user's preference for acoustic and calm music.","{
""is_aligned"": false,
""has_conflict"": true,
""alignment_strength"": ""weak"",
""reason"": ""The recommendation 'Dans Ma Téte' by Jhr. has electronic and hip-hop elements, which conflict with the user's preference for acoustic and calm music.""
}",1,1,0,1
