sample_idx,video_id,gt_music_id,top1_music_id,top1_video_id,top1_is_gt,rank,condition,condition_description,generation_mode,prompt_variant,title_source,generated_text,reference_text,top1_reference_text,user_text,music_title,music_artist,generated_mentions_top1_title,generated_mentions_top1_artist,title_consistency,needs_manual_review,inject_title_used,is_fallback
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,0,4,full,all modalities available; generation is conditioned on ranked Top-1 music,top1_counterfactual_modality_removal,original,top1_reference,"In that case, I would recommend 'Universe Of Dots' by Mona la Phona. This track has a beautiful indie and folk sound, with a touch of melancholy. It's part of the album 'Universe Of Dots' and would be a perfect fit for your video.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie sound with female vocals that bring a sense of melancholy. It's part of the album 'Wild Youth' and perfectly captures the emotions you're looking for in your video.","Allow me to recommend 'Universe Of Dots' by Mona la Phona. It's a live performance recorded at Hamburger Küchensessions. The song combines elements of folk, acoustic, and indie with female vocals. It has a guitar-focused sound which aligns well with your preferences.","Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.",Universe Of Dots,Mona la Phona,1,1,1,0,1,0
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,0,4,wo_video,video feature is zeroed; generation is conditioned on ranked Top-1 music,top1_counterfactual_modality_removal,original,top1_reference,"In that case, I would recommend 'Mona la Phona - Universe Of Dots'. This track has an indie and folk sound, with a touch of melancholy. It's part of the album 'Universe Of Dots' by Mona la Phona. It would be a great fit for your video.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie sound with female vocals that bring a sense of melancholy. It's part of the album 'Wild Youth' and perfectly captures the emotions you're looking for in your video.","Allow me to recommend 'Universe Of Dots' by Mona la Phona. It's a live performance recorded at Hamburger Küchensessions. The song combines elements of folk, acoustic, and indie with female vocals. It has a guitar-focused sound which aligns well with your preferences.","Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.",Universe Of Dots,Mona la Phona,1,1,1,0,1,0
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,0,4,wo_audio_feature_only,"Top-1 music feature is zeroed, but Top-1 title/artist metadata is kept",top1_counterfactual_modality_removal,original,top1_reference,"In that case, I would recommend 'The Best of Us' by The Cure for PTSD. It's a track that combines elements of rock, indie, and folk with a touch of melancholy. It has a pop and dance vibe with a touch of melancholy. It's a track that combines elements of rock, indie, and folk with a touch of melancholy. It has a pop and dance vibe with a touch of melancholy.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie sound with female vocals that bring a sense of melancholy. It's part of the album 'Wild Youth' and perfectly captures the emotions you're looking for in your video.","Allow me to recommend 'Universe Of Dots' by Mona la Phona. It's a live performance recorded at Hamburger Küchensessions. The song combines elements of folk, acoustic, and indie with female vocals. It has a guitar-focused sound which aligns well with your preferences.","Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.",Universe Of Dots,Mona la Phona,0,0,0,1,1,0
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,0,4,wo_audio_all,Top-1 music feature is zeroed and Top-1 title/artist metadata injection is disabled,top1_counterfactual_modality_removal,original,top1_reference,"In that case, I would recommend 'Melancholy' by The National. This track has a melancholy and indie sound, which aligns with the indie and folk elements you're looking for. It's a perfect fit for your video.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie sound with female vocals that bring a sense of melancholy. It's part of the album 'Wild Youth' and perfectly captures the emotions you're looking for in your video.","Allow me to recommend 'Universe Of Dots' by Mona la Phona. It's a live performance recorded at Hamburger Küchensessions. The song combines elements of folk, acoustic, and indie with female vocals. It has a guitar-focused sound which aligns well with your preferences.","Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.",,,,,,0,0,0
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,0,4,wo_prompt,text prompt feature and user text are removed; Top-1 title/artist metadata is kept,top1_counterfactual_modality_removal,original,top1_reference,"I recommend 'Universe Of Dots' by Mona la Phona. It's a track from their album 'Universe Of Dots'. The song combines elements of indie, folk, and pop with female vocals. It has a unique and captivating sound that could add a special touch to your video.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie sound with female vocals that bring a sense of melancholy. It's part of the album 'Wild Youth' and perfectly captures the emotions you're looking for in your video.","Allow me to recommend 'Universe Of Dots' by Mona la Phona. It's a live performance recorded at Hamburger Küchensessions. The song combines elements of folk, acoustic, and indie with female vocals. It has a guitar-focused sound which aligns well with your preferences.","Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.",Universe Of Dots,Mona la Phona,1,1,1,0,1,0
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,0,4,wo_ltp,long-term preference feature is zeroed; Top-1 title/artist metadata is kept,top1_counterfactual_modality_removal,original,top1_reference,. is is that. 5th that is for that. 5th that. 4.4. 4.4.4.4.4.4.4.4.4.4.4.4.4.4.4.4.4.4.4.4.4.4.4.4.4.4.4444444444444444444444444444444444444444444444444444,"In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie sound with female vocals that bring a sense of melancholy. It's part of the album 'Wild Youth' and perfectly captures the emotions you're looking for in your video.","Allow me to recommend 'Universe Of Dots' by Mona la Phona. It's a live performance recorded at Hamburger Küchensessions. The song combines elements of folk, acoustic, and indie with female vocals. It has a guitar-focused sound which aligns well with your preferences.","Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.",Universe Of Dots,Mona la Phona,0,0,0,1,1,0
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,JFof9BQKYO8_FPJ4va7F1Uk,JFof9BQKYO8,0,4,full,all modalities available; generation is conditioned on ranked Top-1 music,top1_counterfactual_modality_removal,original,top1_reference,"Certainly! I recommend 'Kapris - Crystal Cavern'. It's a track from Kapris' album 'Crystal Cavern'. The song combines electronic and chillout elements, which aligns well with the style you're looking for. It was released in 2012 and has a unique and atmospheric sound.","Certainly! I would recommend 'TOPCRIMINAL' by Kapris. It's a track from their MIXTAPE 2009 'Analiz&Foseptik'. This song combines electronic, Hip-Hop, and ambient elements with a chillout vibe. It's a great choice if you want to incorporate Kapris' distinctive style into your video.","Certainly! How about 'Crystal Cavern' by Dirty Chocolate? It's an electronic track with ambient and chillout elements. The song has a techno and synth-focused sound, which adds a unique touch to the overall atmosphere. Although it's an unofficial video, the track itself fits well with the style you're looking for.",That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,Crystal Cavern,Dirty Chocolate,1,0,0,1,1,0
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,JFof9BQKYO8_FPJ4va7F1Uk,JFof9BQKYO8,0,4,wo_video,video feature is zeroed; generation is conditioned on ranked Top-1 music,top1_counterfactual_modality_removal,original,top1_reference,Certainly! I recommend 'Kapris - 2013 - 2014 - 2015 - 2016 - 2017 - 2018 - 2019 - 2020 - 2021 - 2022 - 2023 - 2024 - 2025 - 2026 - 2027 - 2028 - 2029 - 2030 - 2031 - 20,"Certainly! I would recommend 'TOPCRIMINAL' by Kapris. It's a track from their MIXTAPE 2009 'Analiz&Foseptik'. This song combines electronic, Hip-Hop, and ambient elements with a chillout vibe. It's a great choice if you want to incorporate Kapris' distinctive style into your video.","Certainly! How about 'Crystal Cavern' by Dirty Chocolate? It's an electronic track with ambient and chillout elements. The song has a techno and synth-focused sound, which adds a unique touch to the overall atmosphere. Although it's an unofficial video, the track itself fits well with the style you're looking for.",That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,Crystal Cavern,Dirty Chocolate,0,0,0,1,1,0
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,JFof9BQKYO8_FPJ4va7F1Uk,JFof9BQKYO8,0,4,wo_audio_feature_only,"Top-1 music feature is zeroed, but Top-1 title/artist metadata is kept",top1_counterfactual_modality_removal,original,top1_reference,"I recommend 'Kapris' by Dirty Chocolate. It's an electronic and chillout style track that incorporates elements of rock, pop, and dance. Although I don't have specific information about this track, it aligns with the electronic and chillout style you mentioned in the description.","Certainly! I would recommend 'TOPCRIMINAL' by Kapris. It's a track from their MIXTAPE 2009 'Analiz&Foseptik'. This song combines electronic, Hip-Hop, and ambient elements with a chillout vibe. It's a great choice if you want to incorporate Kapris' distinctive style into your video.","Certainly! How about 'Crystal Cavern' by Dirty Chocolate? It's an electronic track with ambient and chillout elements. The song has a techno and synth-focused sound, which adds a unique touch to the overall atmosphere. Although it's an unofficial video, the track itself fits well with the style you're looking for.",That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,Crystal Cavern,Dirty Chocolate,0,1,0,1,1,0
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,JFof9BQKYO8_FPJ4va7F1Uk,JFof9BQKYO8,0,4,wo_audio_all,Top-1 music feature is zeroed and Top-1 title/artist metadata injection is disabled,top1_counterfactual_modality_removal,original,top1_reference,"I suggest checking out 'Kapris' by Kapris. It's an electronic track with a chillout style. Although I don't have much information about this specific track, it aligns with your preference for electronic and chillout music.","Certainly! I would recommend 'TOPCRIMINAL' by Kapris. It's a track from their MIXTAPE 2009 'Analiz&Foseptik'. This song combines electronic, Hip-Hop, and ambient elements with a chillout vibe. It's a great choice if you want to incorporate Kapris' distinctive style into your video.","Certainly! How about 'Crystal Cavern' by Dirty Chocolate? It's an electronic track with ambient and chillout elements. The song has a techno and synth-focused sound, which adds a unique touch to the overall atmosphere. Although it's an unofficial video, the track itself fits well with the style you're looking for.",That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,,,,,,0,0,0
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,JFof9BQKYO8_FPJ4va7F1Uk,JFof9BQKYO8,0,4,wo_prompt,text prompt feature and user text are removed; Top-1 title/artist metadata is kept,top1_counterfactual_modality_removal,original,top1_reference,"I recommend 'Crystal Cavern' by Dirty Chocolate. It's a track from their album 'Dirty Chocolate'. The song combines electronic, ambient, and experimental genres with female vocals. It has a unique and atmospheric sound that could add a distinctive touch to your video.","Certainly! I would recommend 'TOPCRIMINAL' by Kapris. It's a track from their MIXTAPE 2009 'Analiz&Foseptik'. This song combines electronic, Hip-Hop, and ambient elements with a chillout vibe. It's a great choice if you want to incorporate Kapris' distinctive style into your video.","Certainly! How about 'Crystal Cavern' by Dirty Chocolate? It's an electronic track with ambient and chillout elements. The song has a techno and synth-focused sound, which adds a unique touch to the overall atmosphere. Although it's an unofficial video, the track itself fits well with the style you're looking for.",That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,Crystal Cavern,Dirty Chocolate,1,1,1,0,1,0
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,JFof9BQKYO8_FPJ4va7F1Uk,JFof9BQKYO8,0,4,wo_ltp,long-term preference feature is zeroed; Top-1 title/artist metadata is kept,top1_counterfactual_modality_removal,original,top1_reference,I's is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is:s:s:s:s:s:s:s:s:s:s:s:s,"Certainly! I would recommend 'TOPCRIMINAL' by Kapris. It's a track from their MIXTAPE 2009 'Analiz&Foseptik'. This song combines electronic, Hip-Hop, and ambient elements with a chillout vibe. It's a great choice if you want to incorporate Kapris' distinctive style into your video.","Certainly! How about 'Crystal Cavern' by Dirty Chocolate? It's an electronic track with ambient and chillout elements. The song has a techno and synth-focused sound, which adds a unique touch to the overall atmosphere. Although it's an unofficial video, the track itself fits well with the style you're looking for.",That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,Crystal Cavern,Dirty Chocolate,0,0,0,1,1,0
123,iWKoFZAX4MM,iWKoFZAX4MM_dVoN7QajNz8,HA76Wa7uUxw_1Tgp_sAqnbA,HA76Wa7uUxw,0,78,full,all modalities available; generation is conditioned on ranked Top-1 music,top1_counterfactual_modality_removal,original,top1_reference,"In that case, 'Summer' by The Vamps, produced by The Vamps, would be a perfect fit. It's a track that captures the essence of summer with its catchy pop and indie rock elements. The Vamps are known for their energetic and upbeat music, and this collaboration is sure to bring a summery vibe to your video.","For a summery vibe with a distinguished collaboration, 'Summer Time' by EnThéos featuring Deys would be perfect. It's produced by Hot Chip, known for their eclectic mix of electronic, pop, and indie. The track has a lively feel, ideal for summer playlists, and it's part of the 'Dark and Stormy' album. Don't forget to check out the music video directed by Julius Jones-Carter for the full experience!","In that case, I would recommend the track 'Concrete Nouns Vs. Abstract Nouns'. This track falls under the indie, electronic, rock, pop, and alternative genres, making it a perfect fit for your video. While there is no specific information about the album name, artists, or track name, this track is a great choice to capture the indie and pop vibe you're looking for, with a mix of electronic and rock elements.","I'm also looking for something with a summery vibe, possibly a collaboration that's been produced by a known band.",,,,,,0,1,0
