exp_name,sample_idx,video_id,gt_music_id,top1_music_id,top1_is_gt,claim_id,claim_text,claim_terms,claim_categories,metadata_terms,supported_terms,unsupported_terms,is_metadata_supported,generated_text,top1_reference_text,llm_is_metadata_supported,llm_unsupported_aspects,llm_reason,llm_raw,rule_is_metadata_supported,agree_is_metadata_supported
exp_01,204,sCXisjAoIhc,sCXisjAoIhc_0hMrj3zZxB8,lPi8_G20ylM_8wy8tkkfoB4,0,3,It's part of the Fast and Furious soundtrack and would be a great fit for your video.,fast,mood_tempo,alternative;hip-hop;metal;punk;rock,,fast,0,"In that case, I would recommend 'This Is the Game' by Volcano & The New Radio Standard. This track combines elements of hip-hop, rock, and alternative genres, creating a unique and energetic sound. It's part of the Fast and Furious soundtrack and would be a great fit for your video.","Absolutely! If you're looking for a rock and punk vibe, I would suggest 'This Is the Game' by Volcano & The New Radio Standard. This track is part of their album 'Graffiti Symphony' and combines elements of Hip-Hop, rock, punk, metal, and alternative, creating a high-energy and dynamic sound that will perfectly complement your video.",0,It's part of the Fast and Furious soundtrack,"The candidate metadata/reference does not mention the Fast and Furious soundtrack, so the claim is unsupported.","{
""is_metadata_supported"": false,
""unsupported_aspects"": [""It's part of the Fast and Furious soundtrack""],
""reason"": ""The candidate metadata/reference does not mention the Fast and Furious soundtrack, so the claim is unsupported.""
}",0,1
exp_01,13,tu-n5fUfjc4,tu-n5fUfjc4_8fCX0dDDWnM,F6bEuw-MKsw_UCHSW-nQXpE,0,3,"The song combines elements of hip-hop, electronic, indie, and rock genres.",electronic;hip-hop;indie;rock,genre,hip-hop;indie;rock,hip-hop;indie;rock,electronic,0,"Allow me to recommend 'En Attendant JOY&PAIN' by Yojee. It's a track from his album 'JOY&PAIN'. The song combines elements of hip-hop, electronic, indie, and rock genres. It has a unique blend of styles that could be a fitting choice for your video.","I suggest you check out 'JIIW HD' by Fata EL PResidente. It's a track from his album 'IQRA 2014' and combines elements of hip-hop, rock, and indie music. This track might be a fitting choice to incorporate Fata EL PResidente's unique style into your video.",1,,"The candidate metadata/reference text mentions combining elements of hip-hop, rock, and indie music, which aligns with the generated explanation claim.","{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The candidate metadata/reference text mentions combining elements of hip-hop, rock, and indie music, which aligns with the generated explanation claim.""
}",0,0
exp_01,1661,KiRLPw1NfC0,KiRLPw1NfC0_AIhO5vL4Q-8,KiRLPw1NfC0_AIhO5vL4Q-8,1,2,"It's a track from the album 'Kaash' and combines elements of rock, electronic, and classical music.",classical;electronic;rock,genre,classical;electronic;rock,classical;electronic;rock,,1,"Certainly! How about 'Kaash' by Siddharth Basrur? It's a track from the album 'Kaash' and combines elements of rock, electronic, and classical music. The song features female vocals and has a unique blend of genres that could add a touch of elegance and sophistication to your video.","I apologize, but I couldn't find any specific classical-based fusion music for your video. However, Al Bairre's track 'We Move On' does have rock and electronic elements that might give your video the energy and vibe you're looking for.",1,,"The candidate metadata/reference text mentions rock and electronic elements, which aligns with the claim's description of combining these genres.","{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The candidate metadata/reference text mentions rock and electronic elements, which aligns with the claim's description of combining these genres.""
}",1,1
exp_01,2384,hxJHHBh1ajI,hxJHHBh1ajI_o_IZLsjsIDA,HPYNSwe5zZ8__4fc7Et6GzM,0,4,"It has a fast-paced beat and male vocals, which could add an energetic and unique touch to your video.",beat;energetic;fast;male vocals;vocal;vocals,instrument;mood_tempo,electronic;hip-hop;indie;rock,,beat;energetic;fast;male vocals;vocal;vocals,0,"Certainly! How about 'Mou Fafé' by Sound Boy Flex? It's a track from their album 'Mou Fafé'. The song combines elements of hip-hop, electronic, and pop with indie and rock influences. It has a fast-paced beat and male vocals, which could add an energetic and unique touch to your video.","Allow me to recommend 'MOU FAFE' by Sound Boy Flex. It's a track that combines elements of hip-hop, electronic, and rock genres. This song has a unique indie sound that could be a fitting choice for your video. It was released in 2013 and may contain the specific elements you're looking for.",1,,"The claim is supported by the metadata as it mentions 'fast-paced beat' and 'male vocals', which are mentioned in the candidate track metadata/reference.","{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The claim is supported by the metadata as it mentions 'fast-paced beat' and 'male vocals', which are mentioned in the candidate track metadata/reference.""
}",0,0
exp_01,40,ldHV3ewjZxQ,ldHV3ewjZxQ_rzU0jyR6Juk,Oz4ME-FGjaU_mgdqD5ZXqAY,0,3,"This song combines elements of rock, metal, and experimental genres, which aligns well with My Ticket Home's distinctive style.",metal;rock,genre,ambient;drum;electronic;fast;metal;rock;techno,metal;rock,,1,"Certainly! How about 'My Ticket Home' by My Ticket Home? It's a track from their album 'The Quiet Storm'. This song combines elements of rock, metal, and experimental genres, which aligns well with My Ticket Home's distinctive style. It has a fast-paced and loud sound, with a touch of electronic influence.","Allow me to recommend 'Yellow Light Of Death' by HAILMARY. It's a track with experimental and ambient elements combined with metal and rock influences. While there is no specific information available about the album or recording details, it aligns with your interest in electronic and fast-paced rock with techno and drum elements.",1,,The candidate track metadata/reference supports the claim by mentioning metal and rock influences in 'Yellow Light Of Death' by HAILMARY.,"{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The candidate track metadata/reference supports the claim by mentioning metal and rock influences in 'Yellow Light Of Death' by HAILMARY.""
}",1,1
exp_01,3167,U74wIa28C8M,U74wIa28C8M_auFqMaMuIgo,4SPf0KWRqF8_yIrTyW_ty6A,0,4,The song features male vocals and was released in 2012.,male vocals;vocal;vocals,instrument,alternative;electronic;indie;rock,,male vocals;vocal;vocals,0,"Allow me to recommend 'Sin Ti' by Los Pepes. It's a track from their album 'Sin Ti'. It combines elements of punk, indie rock, and alternative with a focus on guitar and drums. The song features male vocals and was released in 2012. It may contain the specific elements you're looking for.","Allow me to recommend a track from Abandon Mute called 'These Days'. It's an indie rock and alternative song with electronic influences. Unfortunately, I do not have any additional information about the track such as the album or release date.",0,release date,No release date information provided in the metadata/reference text.,"{
""is_metadata_supported"": false,
""unsupported_aspects"": [""release date""],
""reason"": ""No release date information provided in the metadata/reference text.""
}",0,1
exp_01,229,ZfNcFf4e_fM,ZfNcFf4e_fM_10AlEb4dc3w,suReJoUiz6g_BR2l2scZiMg,0,2,This track has a classic rock sound with elements of indie and alternative.,alternative;indie;rock,genre,indie;pop;rock;vocal;vocals,indie;rock,alternative,0,"In that case, I would recommend 'Walk To The Other Side' by Jaap Reesema. This track has a classic rock sound with elements of indie and alternative. It features meaningful lyrics that can add depth to your video.","In that case, I would recommend 'Walk To The Other Side' by Jaap Reesema. This track combines classic rock and indie elements with a pop touch. It features Jaap Reesema's captivating vocals and has a timeless sound. It would be a great fit for your video.",1,,"The candidate track metadata/reference text explicitly mentions 'classic rock' and 'indie elements', which aligns with the music-detail claim.","{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The candidate track metadata/reference text explicitly mentions 'classic rock' and 'indie elements', which aligns with the music-detail claim.""
}",0,0
exp_01,3618,DaDhDiYMDfI,DaDhDiYMDfI_AyqcK2_nkms,X5G1Mqumr_s_hwdrAZBB27M,0,3,This track combines Hip-Hop and electronic elements with a touch of experimental and rock influences.,electronic;hip-hop;rock,genre,beat;electronic;energetic;fast;hip hop;hip-hop;indie;male vocals;rock;techno;vocal;vocals,electronic;hip-hop;rock,,1,"In that case, I would recommend 'B.O.B. (Bring Out The Best)' by Next Calibre. This track combines Hip-Hop and electronic elements with a touch of experimental and rock influences. It's a great choice if you're looking for something a bit more unique and edgy.","Allow me to recommend 'Hip Hop' by Next Calibre. It's a track from their EP 'EP-isodes'. The song combines elements of hip-hop, electronic, and rock with experimental and indie influences. It features a fast-paced techno beat and has a loud and energetic sound. The male vocals add a unique touch to the track.",1,,The claim accurately summarizes the track's genre-bending style and influences mentioned in the metadata.,"{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The claim accurately summarizes the track's genre-bending style and influences mentioned in the metadata.""
}",1,1
exp_01,3245,AEiLLBv49Po,AEiLLBv49Po_pLzSxDOZuak,bLXdnXrr178_aOhD1u1bJI0,0,3,"It combines elements of rock, electronic, and experimental music with jazz influences.",electronic;jazz;rock,genre,blues;electronic;hip-hop;rock,electronic;rock,jazz,0,"Allow me to recommend 'EOB' by EOB. It's a track from their album 'EOB'. It combines elements of rock, electronic, and experimental music with jazz influences. The song features male vocals and was released in 2011. It may contain the specific elements you want.","Allow me to recommend 'Outlook Festival 2011 Highlights' by deadcloud. It's a video highlighting their performance at the Outlook Festival in Croatia. Although there is no specific track mentioned, deadcloud is known for their electronic, Hip-Hop, and rock style with blues influences. This aligns well with the elements you are looking for in your video, especially the electronic and rock components.",1,,The claim is supported by the metadata's mention of electronic and rock styles with blues influences.,"{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The claim is supported by the metadata's mention of electronic and rock styles with blues influences.""
}",0,0
exp_01,2692,FdDkWU32fDo,FdDkWU32fDo_HmO-dkg9vZs,FdDkWU32fDo_HmO-dkg9vZs,1,4,The song has a catchy and energetic vibe that could be a fitting choice for your music video.,energetic,mood_tempo,drum;electronic;hip-hop;pop,,energetic,0,"Allow me to recommend 'That Kind of Guy' by Tony Terry. It's a track from his album 'That Kind of Guy'. It combines elements of 90s pop, Hip-Hop, and electronic music with a strong focus on drums. The song has a catchy and energetic vibe that could be a fitting choice for your music video.",Let me suggest 'That Kind of Guy' by Tony Terry. It's a 90s pop and Hip-Hop track with electronic and drum influences. The music video was released in 1991 and captures the essence of that era. It aligns well with the elements you're looking for in your project.,1,,"The candidate track metadata/reference explicitly describes the song's energetic vibe, supporting the claim.","{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The candidate track metadata/reference explicitly describes the song's energetic vibe, supporting the claim.""
}",0,0
