sample_idx,video_id,gt_music_id,preference_variant,positive_hits,negative_hits,n_positive_hits,n_negative_hits,alignment_score,is_aligned,has_conflict,ESS_from_original,generated_text
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,cf_upbeat_electronic,beat;beats;dance;energetic;modern;pop,,6,0,6,1,0,0.5,"In that case, I would recommend 'Universe Of Dots' by Mona la Phona. This track is part of the album 'Universe Of Dots' and offers a blend of indie, folk, and pop genres. It has a female vocalist and a guitar-driven sound, which adds a unique touch to the music. The energetic beats and modern dance vibe make it a perfect choice for your video."
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,cf_lyrical_piano,acoustic;gentle;lyrical;melody;piano;sentimental;slow;soft,,8,0,8,1,0,0.5,"In that case, I recommend 'Universe Of Dots' by Mona la Phona. This track has a beautiful lyrical piano melody with a slow tempo and a soft acoustic texture. It creates a gentle and sentimental mood that would be perfect for your video."
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,cf_upbeat_electronic,bright;dance;electronic;pop;tempo,,5,0,5,1,0,0.7868852459016393,"In that case, I would recommend 'Crystal Cavern' by Dirty Chocolate. This track is a perfect fit for your video as it falls under the electronic genre with elements of dance, pop, and electro. It has a fast tempo and a bright mood that will add energy to your video."
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,cf_lyrical_piano,acoustic;calm;emotional;gentle;lyrical;melody;piano;sentimental;slow;soft,,10,0,10,1,0,0.75,"I understand your preference for lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood. In that case, I recommend 'Crystal Cavern' by Dirty Chocolate. It's a track from their album 'Crystal Cavern' and features lyrical piano and acoustic elements. The song has a beautiful and emotional sound that can create a soothing atmosphere in your video."
123,iWKoFZAX4MM,iWKoFZAX4MM_dVoN7QajNz8,cf_upbeat_electronic,dance;electronic;energetic;modern;pop;rhythm,,6,0,6,1,0,0.746031746031746,"In that case, I recommend 'Sunshine' by The Fray. This track combines electronic, rock, indie, and pop elements to create a vibrant and energetic sound. It has a clear rhythm and a modern dance or pop feel that will add a lively atmosphere to your video."
123,iWKoFZAX4MM,iWKoFZAX4MM_dVoN7QajNz8,cf_lyrical_piano,acoustic;calm;piano;sentimental;slow,electronic,5,1,4,1,1,0.7777777777777778,"I suggest checking out 'Love Is Alive' by The Fray. It's a track from their album 'Love Is Alive'. The song combines elements of rock, indie, pop, and electronic genres, with a focus on guitar and piano. It has a slow tempo and a soothing acoustic texture, which can create a calm and sentimental mood for your video."
166,QKvUGxF7qzA,QKvUGxF7qzA_scdO5HE8so4,cf_upbeat_electronic,beat;beats;bright;dance;electronic;energetic;modern;pop;rhythm;upbeat,,10,0,10,1,0,0.6875,"In that case, I would recommend 'Stadt der Engel' by Massendefekt. This track is from their album 'Stadt der Engel' and it perfectly captures the upbeat electronic vibe you're looking for. It has a bright mood, clear rhythm, energetic beats, and a modern dance or pop feel. It's a great choice for your video."
166,QKvUGxF7qzA,QKvUGxF7qzA_scdO5HE8so4,cf_lyrical_piano,lyrical;piano;sentimental;slow,electronic,4,1,3,1,1,0.4814814814814815,"Allow me to recommend 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines elements of rock, alternative, and indie with a touch of electronic. It has a slow tempo and features lyrical piano, which can create a soothing and sentimental atmosphere for your video."
215,yyaNJKJ6y6k,yyaNJKJ6y6k_0hMrj3zZxB8,cf_upbeat_electronic,dance;electronic;energetic;pop;rhythm;tempo,,6,0,6,1,0,0.6226415094339622,"In that case, I recommend '♂×♀×ポーカーゲーム' by ベッド・イン. This track is from their album '♂×♀×ポーカーゲーム' and offers the perfect blend of electronic, dance, pop, and rock genres. It has a fast tempo and a catchy rhythm that will give your video a lively and energetic feel."
215,yyaNJKJ6y6k,yyaNJKJ6y6k_0hMrj3zZxB8,cf_lyrical_piano,,beat;dance;electronic;techno,0,4,-4,0,1,0.6379310344827587,"Allow me to recommend 'Love is a Battlefield' by ベッド・イン. It's a track from their album 'Love is a Battlefield'. This song combines elements of electronic, dance, and pop genres with a touch of rock. It has a fast-paced techno sound with a strong beat, which could be a fitting choice for your video."
