condition,bucket,bucket_label,n_sentences,share
full,E7_degenerate_generation,生成崩潰（退化輸出）,0,0.0
full,E0_clause_split_artifact,斷句碎片（標註流程假影）,105,0.7894736842105263
full,E0b_rule_miss_verified,規則漏判但有證據支持,13,0.09774436090225563
full,E1_preference_unsupported,偏好不支持,0,0.0
full,E2_metadata_unsupported,音樂元資料不支持,1,0.007518796992481203
full,E3_video_unsupported,影片內容不支持,1,0.007518796992481203
full,E4_vague_generic,一般性空泛描述／主觀陳述,11,0.08270676691729323
full,E5_multi_source_ambiguous,多來源無法區分,0,0.0
full,E6_likely_hallucination,可能幻覺,2,0.015037593984962405
wo_audio_all,E7_degenerate_generation,生成崩潰（退化輸出）,0,0.0
wo_audio_all,E0_clause_split_artifact,斷句碎片（標註流程假影）,112,0.7671232876712328
wo_audio_all,E0b_rule_miss_verified,規則漏判但有證據支持,8,0.0547945205479452
wo_audio_all,E1_preference_unsupported,偏好不支持,0,0.0
wo_audio_all,E2_metadata_unsupported,音樂元資料不支持,8,0.0547945205479452
wo_audio_all,E3_video_unsupported,影片內容不支持,0,0.0
wo_audio_all,E4_vague_generic,一般性空泛描述／主觀陳述,0,0.0
wo_audio_all,E5_multi_source_ambiguous,多來源無法區分,2,0.0136986301369863
wo_audio_all,E6_likely_hallucination,可能幻覺,16,0.1095890410958904
wo_audio_feature_only,E7_degenerate_generation,生成崩潰（退化輸出）,0,0.0
wo_audio_feature_only,E0_clause_split_artifact,斷句碎片（標註流程假影）,112,0.7832167832167832
wo_audio_feature_only,E0b_rule_miss_verified,規則漏判但有證據支持,12,0.08391608391608392
wo_audio_feature_only,E1_preference_unsupported,偏好不支持,0,0.0
wo_audio_feature_only,E2_metadata_unsupported,音樂元資料不支持,2,0.013986013986013986
wo_audio_feature_only,E3_video_unsupported,影片內容不支持,4,0.027972027972027972
wo_audio_feature_only,E4_vague_generic,一般性空泛描述／主觀陳述,0,0.0
wo_audio_feature_only,E5_multi_source_ambiguous,多來源無法區分,1,0.006993006993006993
wo_audio_feature_only,E6_likely_hallucination,可能幻覺,12,0.08391608391608392
wo_ltp,E7_degenerate_generation,生成崩潰（退化輸出）,286,1.0
wo_ltp,E0_clause_split_artifact,斷句碎片（標註流程假影）,0,0.0
wo_ltp,E0b_rule_miss_verified,規則漏判但有證據支持,0,0.0
wo_ltp,E1_preference_unsupported,偏好不支持,0,0.0
wo_ltp,E2_metadata_unsupported,音樂元資料不支持,0,0.0
wo_ltp,E3_video_unsupported,影片內容不支持,0,0.0
wo_ltp,E4_vague_generic,一般性空泛描述／主觀陳述,0,0.0
wo_ltp,E5_multi_source_ambiguous,多來源無法區分,0,0.0
wo_ltp,E6_likely_hallucination,可能幻覺,0,0.0
wo_prompt,E7_degenerate_generation,生成崩潰（退化輸出）,0,0.0
wo_prompt,E0_clause_split_artifact,斷句碎片（標註流程假影）,151,0.9041916167664671
wo_prompt,E0b_rule_miss_verified,規則漏判但有證據支持,7,0.041916167664670656
wo_prompt,E1_preference_unsupported,偏好不支持,0,0.0
wo_prompt,E2_metadata_unsupported,音樂元資料不支持,1,0.005988023952095809
wo_prompt,E3_video_unsupported,影片內容不支持,0,0.0
wo_prompt,E4_vague_generic,一般性空泛描述／主觀陳述,1,0.005988023952095809
wo_prompt,E5_multi_source_ambiguous,多來源無法區分,0,0.0
wo_prompt,E6_likely_hallucination,可能幻覺,7,0.041916167664670656
wo_video,E7_degenerate_generation,生成崩潰（退化輸出）,0,0.0
wo_video,E0_clause_split_artifact,斷句碎片（標註流程假影）,120,0.821917808219178
wo_video,E0b_rule_miss_verified,規則漏判但有證據支持,11,0.07534246575342465
wo_video,E1_preference_unsupported,偏好不支持,0,0.0
wo_video,E2_metadata_unsupported,音樂元資料不支持,4,0.0273972602739726
wo_video,E3_video_unsupported,影片內容不支持,0,0.0
wo_video,E4_vague_generic,一般性空泛描述／主觀陳述,3,0.02054794520547945
wo_video,E5_multi_source_ambiguous,多來源無法區分,2,0.0136986301369863
wo_video,E6_likely_hallucination,可能幻覺,6,0.0410958904109589
