condition,sample_idx,claim_id,claim_text,parent_sentence,bucket,bucket_label,subtype,evidence_note,genre_terms,genre_verification,genre_missing,quoted_names,quoted_verification,needs_human_review,human_bucket,human_is_genuine_error,human_note,generated_text
full,54,2,This track has a beautiful indie,"This track has a beautiful indie and folk sound, with a touch of melancholy.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",folk;indie,supported,,,not_applicable,0,,,,"In that case, I would recommend 'Universe Of Dots' by Mona la Phona. This track has a beautiful indie and folk sound, with a touch of melancholy. It's part of the album 'Universe Of Dots' and would be a perfect fit for your video."
full,104,3,The song combines electronic,"The song combines electronic and chillout elements, which aligns well with the style you're looking for.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_prompt-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",chillout;electronic,supported,,,not_applicable,0,,,,"Certainly! I recommend 'Kapris - Crystal Cavern'. It's a track from Kapris' album 'Crystal Cavern'. The song combines electronic and chillout elements, which aligns well with the style you're looking for. It was released in 2012 and has a unique and atmospheric sound."
full,123,2,It's a track that captures the essence of summer with its catchy pop,It's a track that captures the essence of summer with its catchy pop and indie rock elements.,E0b_rule_miss_verified,規則漏判但有證據支持,genre_claim_verified_by_tags,曲風敘述可由 musicnn 標籤／參考文本支持；v2 因 GENRE_TERMS 需搭配 anchor 詞才計為 audio 而漏判,indie;pop;rock,supported,,,not_applicable,0,,,,"In that case, 'Summer' by The Vamps, produced by The Vamps, would be a perfect fit. It's a track that captures the essence of summer with its catchy pop and indie rock elements. The Vamps are known for their energetic and upbeat music, and this collaboration is sure to bring a summery vibe to your video."
full,123,4,this collaboration is sure to bring a summery vibe to your video.,"The Vamps are known for their energetic and upbeat music, and this collaboration is sure to bring a summery vibe to your video.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,,not_applicable,0,,,,"In that case, 'Summer' by The Vamps, produced by The Vamps, would be a perfect fit. It's a track that captures the essence of summer with its catchy pop and indie rock elements. The Vamps are known for their energetic and upbeat music, and this collaboration is sure to bring a summery vibe to your video."
full,215,3,pop elements with a touch of rock.,"This track is a perfect fit for your needs, as it combines electronic, dance, and pop elements with a touch of rock.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_general-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",dance;electronic;pop;rock,supported,,,not_applicable,0,,,,"In that case, I'd recommend 'Bed In' by ベッド・イン. This track is a perfect fit for your needs, as it combines electronic, dance, and pop elements with a touch of rock. It's a high-energy song that will definitely get the energy up in your video."
full,215,4,It's a high-energy song that will definitely get the energy up in your video.,It's a high-energy song that will definitely get the energy up in your video.,E4_vague_generic,一般性空泛描述／主觀陳述,generic_video_benefit,泛用效用或主觀陳述，本質上不具可驗證性,,not_applicable,,,not_applicable,0,,,,"In that case, I'd recommend 'Bed In' by ベッド・イン. This track is a perfect fit for your needs, as it combines electronic, dance, and pop elements with a touch of rock. It's a high-energy song that will definitely get the energy up in your video."
full,261,3,It has a heavy,It has a heavy and experimental sound that will add a unique touch to your video.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,,not_applicable,0,,,,"In that case, I would recommend 'Snow by Sun Heights'. This track is a perfect fit for your video as it falls under the genres of metal, rock, punk, and experimental. It has a heavy and experimental sound that will add a unique touch to your video."
full,307,2,It's a hip-hop track with electronic,It's a hip-hop track with electronic and jazz elements.,E0b_rule_miss_verified,規則漏判但有證據支持,genre_claim_verified_by_tags,曲風敘述可由 musicnn 標籤／參考文本支持；v2 因 GENRE_TERMS 需搭配 anchor 詞才計為 audio 而漏判,electronic;hip-hop;jazz,supported,,,not_applicable,0,,,,I recommend 'Sick Perfect Banger' by Redhooknoodles. It's a hip-hop track with electronic and jazz elements. The song has a fast-paced beat and features male vocals. It was released in 2014 and could add a unique touch to your video.
full,307,5,could add a unique touch to your video.,It was released in 2014 and could add a unique touch to your video.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_metadata-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,,not_applicable,0,,,,I recommend 'Sick Perfect Banger' by Redhooknoodles. It's a hip-hop track with electronic and jazz elements. The song has a fast-paced beat and features male vocals. It was released in 2014 and could add a unique touch to your video.
full,313,2,It's a dance-pop track with electronic,It's a dance-pop track with electronic and house influences.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",electronic;house,supported,,,not_applicable,0,,,,Certainly! How about 'Alive' by Krewella? It's a dance-pop track with electronic and house influences. The song has a catchy beat and energetic vibe that could be a fitting choice for your playlist. It was released in 2013 and has a music video directed by Kyle Crawford.
full,348,3,"This song combines hip-hop, electronic","This song combines hip-hop, electronic, and soul elements with a dance vibe.",E0b_rule_miss_verified,規則漏判但有證據支持,genre_claim_verified_by_tags,曲風敘述可由 musicnn 標籤／參考文本支持；v2 因 GENRE_TERMS 需搭配 anchor 詞才計為 audio 而漏判,dance;electronic;hip-hop;soul,supported,,,not_applicable,0,,,,"I suggest checking out 'Poser' by Diez Mo feat. It's a track from Diez Mo's album 'Poser'. This song combines hip-hop, electronic, and soul elements with a dance vibe. It was released in 2014 and has a catchy beat and energetic vocals that could be a fitting choice for your video."
full,348,4,soul elements with a dance vibe.,"This song combines hip-hop, electronic, and soul elements with a dance vibe.",E0b_rule_miss_verified,規則漏判但有證據支持,genre_claim_verified_by_tags,曲風敘述可由 musicnn 標籤／參考文本支持；v2 因 GENRE_TERMS 需搭配 anchor 詞才計為 audio 而漏判,dance;electronic;hip-hop;soul,supported,,,not_applicable,0,,,,"I suggest checking out 'Poser' by Diez Mo feat. It's a track from Diez Mo's album 'Poser'. This song combines hip-hop, electronic, and soul elements with a dance vibe. It was released in 2014 and has a catchy beat and energetic vocals that could be a fitting choice for your video."
full,358,5,The song has a 80s vibe,The song has a 80s vibe and was released in 2009.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_metadata-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,,not_applicable,0,,,,"Allow me to recommend 'Si C'Est Une Ile' by Jenifer. It's a track from her album 'Si C'Est Une Ile'. It combines elements of rock, pop, and indie with female vocals. The song has a 80s vibe and was released in 2009. It could be a fitting choice for your video."
full,410,2,"It's a track that combines Hip-Hop, electronic","It's a track that combines Hip-Hop, electronic, and R&B elements with a strong vocal presence.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",electronic;hip-hop;r&b,supported,,,not_applicable,0,,,,"Certainly! How about 'New Oakland' by DJ Touré featuring Mistah Fab? It's a track that combines Hip-Hop, electronic, and R&B elements with a strong vocal presence. The song has a catchy beat and a mix of electronic and rock influences. It was released in 2012 and could be a fitting choice for your video."
full,410,5,a mix of electronic,The song has a catchy beat and a mix of electronic and rock influences.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",electronic;rock,partially_supported,rock,,not_applicable,0,,,,"Certainly! How about 'New Oakland' by DJ Touré featuring Mistah Fab? It's a track that combines Hip-Hop, electronic, and R&B elements with a strong vocal presence. The song has a catchy beat and a mix of electronic and rock influences. It was released in 2012 and could be a fitting choice for your video."
