no,condition,claim_text,parent_sentence,rule_bucket,rule_label,human_bucket,human_is_genuine_error,human_genuine_inferred,rule_is_genuine_error,agree_bucket,human_note
1,full,This track has a beautiful indie,"This track has a beautiful indie and folk sound, with a touch of melancholy.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
2,full,The song combines electronic,"The song combines electronic and chillout elements, which aligns well with the style you're looking for.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
3,full,It's a track that captures the essence of summer with its catchy pop,It's a track that captures the essence of summer with its catchy pop and indie rock elements.,E0b,規則漏判但有證據支持,E4,1,1,0,0,
4,full,this collaboration is sure to bring a summery vibe to your video.,"The Vamps are known for their energetic and upbeat music, and this collaboration is sure to bring a summery vibe to your video.",E0,斷句碎片（標註流程假影）,E5,1,1,0,0,
5,full,pop elements with a touch of rock.,"This track is a perfect fit for your needs, as it combines electronic, dance, and pop elements with a touch of rock.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
6,full,It's a high-energy song that will definitely get the energy up in your video.,It's a high-energy song that will definitely get the energy up in your video.,E4,一般性空泛描述／主觀陳述,E4,1,1,1,1,
7,full,It has a heavy,It has a heavy and experimental sound that will add a unique touch to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
8,full,It's a hip-hop track with electronic,It's a hip-hop track with electronic and jazz elements.,E0b,規則漏判但有證據支持,E0,0,1,0,0,
9,full,could add a unique touch to your video.,It was released in 2014 and could add a unique touch to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
10,full,It's a dance-pop track with electronic,It's a dance-pop track with electronic and house influences.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
11,full,"This song combines hip-hop, electronic","This song combines hip-hop, electronic, and soul elements with a dance vibe.",E0b,規則漏判但有證據支持,E0,0,1,0,0,
12,full,soul elements with a dance vibe.,"This song combines hip-hop, electronic, and soul elements with a dance vibe.",E0b,規則漏判但有證據支持,E0,0,1,0,0,
13,full,The song has a 80s vibe,The song has a 80s vibe and was released in 2009.,E0,斷句碎片（標註流程假影）,E0b,0,1,0,0,
14,full,"It's a track that combines Hip-Hop, electronic","It's a track that combines Hip-Hop, electronic, and R&B elements with a strong vocal presence.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
15,full,a mix of electronic,The song has a catchy beat and a mix of electronic and rock influences.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
16,full,It's an electronic dance track with pop,It's an electronic dance track with pop and house influences.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
17,full,The song has a pop,The song has a pop and dance vibe that could be a fitting choice for your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
18,full,"pop, creating a unique","This track combines elements of hip-hop, electronic, and pop, creating a unique and catchy sound.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
19,full,This track has a 90s vibe,"This track has a 90s vibe and combines elements of Hip-Hop, electronic, and alternative genres.",E0,斷句碎片（標註流程假影）,E4,1,1,0,0,
20,full,It's a reggaeton track with hip-hop,It's a reggaeton track with hip-hop and dance influences.,E0,斷句碎片（標註流程假影）,E0b,0,1,0,0,
21,full,"It also has a touch of 80s influence, which adds a nostalgic feel to the music.","It also has a touch of 80s influence, which adds a nostalgic feel to the music.",E4,一般性空泛描述／主觀陳述,E4,1,1,1,1,
