sample_idx,video_id,gt_music_id,top1_music_id,top1_video_id,condition,claim_id,claim_text,parent_sentence,parent_source,parent_claim_type,generation_degenerate,degenerate_reason,is_truncated_fragment,bucket,bucket_label,subtype,evidence_note,genre_terms,genre_verification,genre_supported,genre_missing,quoted_names,quoted_verification,external_evidence_available,needs_human_review,generated_text
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,full,2,This track has a beautiful indie,"This track has a beautiful indie and folk sound, with a touch of melancholy.",audio-supported,audio,0,,1,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",folk;indie,supported,folk;indie,,,not_applicable,1,0,"In that case, I would recommend 'Universe Of Dots' by Mona la Phona. This track has a beautiful indie and folk sound, with a touch of melancholy. It's part of the album 'Universe Of Dots' and would be a perfect fit for your video."
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,wo_video,2,This track has an indie,"This track has an indie and folk sound, with a touch of melancholy.",audio-supported,audio,0,,1,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",folk;indie,supported,folk;indie,,,not_applicable,1,0,"In that case, I would recommend 'Mona la Phona - Universe Of Dots'. This track has an indie and folk sound, with a touch of melancholy. It's part of the album 'Universe Of Dots' by Mona la Phona. It would be a great fit for your video."
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,wo_audio_feature_only,3,folk with a touch of melancholy.,"It's a track that combines elements of rock, indie, and folk with a touch of melancholy.",audio-supported,audio,0,,0,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",folk;indie;rock,supported,folk;indie;rock,,,not_applicable,1,0,"In that case, I would recommend 'The Best of Us' by The Cure for PTSD. It's a track that combines elements of rock, indie, and folk with a touch of melancholy. It has a pop and dance vibe with a touch of melancholy. It's a track that combines elements of rock, indie, and folk with a touch of melancholy. It has a pop and dance vibe with a touch of melancholy."
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,wo_audio_feature_only,4,It has a pop,It has a pop and dance vibe with a touch of melancholy.,unsupported,unknown,0,,1,E2_metadata_unsupported,音樂元資料不支持,genre_partially_supported,部分曲風查無支持：['dance']（musicnn 標籤有雜訊，查無支持不等於事實錯誤）,dance;pop,partially_supported,pop,dance,,not_applicable,1,1,"In that case, I would recommend 'The Best of Us' by The Cure for PTSD. It's a track that combines elements of rock, indie, and folk with a touch of melancholy. It has a pop and dance vibe with a touch of melancholy. It's a track that combines elements of rock, indie, and folk with a touch of melancholy. It has a pop and dance vibe with a touch of melancholy."
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,wo_audio_feature_only,5,dance vibe with a touch of melancholy.,It has a pop and dance vibe with a touch of melancholy.,unsupported,unknown,0,,0,E2_metadata_unsupported,音樂元資料不支持,genre_partially_supported,部分曲風查無支持：['dance']（musicnn 標籤有雜訊，查無支持不等於事實錯誤）,dance;pop,partially_supported,pop,dance,,not_applicable,1,1,"In that case, I would recommend 'The Best of Us' by The Cure for PTSD. It's a track that combines elements of rock, indie, and folk with a touch of melancholy. It has a pop and dance vibe with a touch of melancholy. It's a track that combines elements of rock, indie, and folk with a touch of melancholy. It has a pop and dance vibe with a touch of melancholy."
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,wo_audio_feature_only,7,folk with a touch of melancholy.,"It's a track that combines elements of rock, indie, and folk with a touch of melancholy.",audio-supported,audio,0,,0,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",folk;indie;rock,supported,folk;indie;rock,,,not_applicable,1,0,"In that case, I would recommend 'The Best of Us' by The Cure for PTSD. It's a track that combines elements of rock, indie, and folk with a touch of melancholy. It has a pop and dance vibe with a touch of melancholy. It's a track that combines elements of rock, indie, and folk with a touch of melancholy. It has a pop and dance vibe with a touch of melancholy."
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,wo_audio_feature_only,8,It has a pop,It has a pop and dance vibe with a touch of melancholy.,unsupported,unknown,0,,1,E2_metadata_unsupported,音樂元資料不支持,genre_partially_supported,部分曲風查無支持：['dance']（musicnn 標籤有雜訊，查無支持不等於事實錯誤）,dance;pop,partially_supported,pop,dance,,not_applicable,1,1,"In that case, I would recommend 'The Best of Us' by The Cure for PTSD. It's a track that combines elements of rock, indie, and folk with a touch of melancholy. It has a pop and dance vibe with a touch of melancholy. It's a track that combines elements of rock, indie, and folk with a touch of melancholy. It has a pop and dance vibe with a touch of melancholy."
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,wo_audio_feature_only,9,dance vibe with a touch of melancholy.,It has a pop and dance vibe with a touch of melancholy.,unsupported,unknown,0,,0,E2_metadata_unsupported,音樂元資料不支持,genre_partially_supported,部分曲風查無支持：['dance']（musicnn 標籤有雜訊，查無支持不等於事實錯誤）,dance;pop,partially_supported,pop,dance,,not_applicable,1,1,"In that case, I would recommend 'The Best of Us' by The Cure for PTSD. It's a track that combines elements of rock, indie, and folk with a touch of melancholy. It has a pop and dance vibe with a touch of melancholy. It's a track that combines elements of rock, indie, and folk with a touch of melancholy. It has a pop and dance vibe with a touch of melancholy."
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,wo_audio_all,2,This track has a melancholy,"This track has a melancholy and indie sound, which aligns with the indie and folk elements you're looking for.",prompt-supported,prompt,0,,1,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_prompt-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",folk;indie,supported,folk;indie,,,not_applicable,1,0,"In that case, I would recommend 'Melancholy' by The National. This track has a melancholy and indie sound, which aligns with the indie and folk elements you're looking for. It's a perfect fit for your video."
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,wo_prompt,5,It has a unique,It has a unique and captivating sound that could add a special touch to your video.,audio-supported,audio,0,,1,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,,,not_applicable,1,0,"I recommend 'Universe Of Dots' by Mona la Phona. It's a track from their album 'Universe Of Dots'. The song combines elements of indie, folk, and pop with female vocals. It has a unique and captivating sound that could add a special touch to your video."
