persona_id,prototype,context,candidate_pool_size,min_required,history_length,feasible
P1_high_energy__c0,高能量節奏型,主流流行舞曲音樂影片,4794,200,20,True
P1_high_energy__c1,高能量節奏型,粉絲二創／歌詞與玩偶動畫影片,4794,200,20,True
P1_high_energy__c2,高能量節奏型,樂團演出／搖滾金屬音樂影片,4794,200,20,True
P1_high_energy__c3,高能量節奏型,嘻哈饒舌／街頭拍攝音樂影片,4794,200,20,True
P2_soft_ambient__c0,柔和氛圍型,主流流行舞曲音樂影片,2453,200,20,True
P2_soft_ambient__c1,柔和氛圍型,粉絲二創／歌詞與玩偶動畫影片,2453,200,20,True
P2_soft_ambient__c2,柔和氛圍型,樂團演出／搖滾金屬音樂影片,2453,200,20,True
P2_soft_ambient__c3,柔和氛圍型,嘻哈饒舌／街頭拍攝音樂影片,2453,200,20,True
P3_vocal_narrative__c0,人聲敘事型,主流流行舞曲音樂影片,6051,200,20,True
P3_vocal_narrative__c1,人聲敘事型,粉絲二創／歌詞與玩偶動畫影片,6051,200,20,True
P3_vocal_narrative__c2,人聲敘事型,樂團演出／搖滾金屬音樂影片,6051,200,20,True
P3_vocal_narrative__c3,人聲敘事型,嘻哈饒舌／街頭拍攝音樂影片,6051,200,20,True
P4_instrumental_bed__c0,純音樂背景型,主流流行舞曲音樂影片,3482,200,20,True
P4_instrumental_bed__c1,純音樂背景型,粉絲二創／歌詞與玩偶動畫影片,3482,200,20,True
P4_instrumental_bed__c2,純音樂背景型,樂團演出／搖滾金屬音樂影片,3482,200,20,True
P4_instrumental_bed__c3,純音樂背景型,嘻哈饒舌／街頭拍攝音樂影片,3482,200,20,True
P5_genre_consistent__c0,曲風一致型,主流流行舞曲音樂影片,22943,200,20,True
P5_genre_consistent__c1,曲風一致型,粉絲二創／歌詞與玩偶動畫影片,22943,200,20,True
P5_genre_consistent__c2,曲風一致型,樂團演出／搖滾金屬音樂影片,22943,200,20,True
P5_genre_consistent__c3,曲風一致型,嘻哈饒舌／街頭拍攝音樂影片,22943,200,20,True
P6_exploratory__c0,探索多樣型,主流流行舞曲音樂影片,16149,200,20,True
P6_exploratory__c1,探索多樣型,粉絲二創／歌詞與玩偶動畫影片,16149,200,20,True
P6_exploratory__c2,探索多樣型,樂團演出／搖滾金屬音樂影片,16149,200,20,True
P6_exploratory__c3,探索多樣型,嘻哈饒舌／街頭拍攝音樂影片,16149,200,20,True
