exp,sample_idx,video_id,claim_id,claim_text,claim_type,support_source,parent_source,attribute_terms,verification,reference_positive_evidence,reference_negative_evidence
exp_01,773,hDM-XA0-8g4,2,It's a track from his album 'Don't Talk'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,3304,SmvuIXEqzFs,1,Allow me to recommend 'Bangarang' by Skrillex featuring Sirah.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,2770,dcuJbj_X0kw,1,"In that case, I would recommend 'Mixtape 2013' by K.O.S.",metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,1704,fU1rcy8xyXw,1,Allow me to recommend 'Holiday' by Crystal Lake & Mirami.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,1394,un4yHVpHSBQ,1,Allow me to recommend 'Marchin On (Patriot Remix)' by OneRepublic.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,2049,hEWnzBSwJyE,1,Allow me to recommend 'The Last Time' by Autoheart.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,476,03EQPyWENj4,1,"In that case, I would recommend 'TELEPHONE A MOIN' by aim a nou.",metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,3645,fpPHM9g7doo,2,It's a track from his album 'London'o Phone'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,2730,-jENx8xIP_E,5,This track was released in 2012,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,681,Ul8OCi9nGOA,2,It's a track from their album 'Ella'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,3851,Rz2D2V8INJw,1,Allow me to recommend 'Black Bastards' by KMD.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,1014,0X4gM95Vprc,3,"It combines elements of hip-hop, electronic",metadata,metadata-supported,metadata-supported,electronic;hip-hop,supported,,
exp_01,3097,FS51Fk2HxCc,1,Allow me to recommend 'Beautiful' by FTISLAND.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,399,IIEcdkjqs-U,2,It's a track from their album 'Skibidip'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,4002,tlBAZO20It4,2,It's a track from their album 'Giddy Up Pt.2'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,586,K4MocBFO82s,1,Allow me to recommend 'Our Last Dance' by Nobody featuring Cedric Bixler-Zavala.,metadata,metadata-supported,metadata-supported,dance,supported,,
exp_01,1147,zNWLNl46d3M,1,"In that case, I would recommend 'Minecraft Rap - Zarcort' by Zarcort.",metadata,metadata-supported,metadata-supported,rap,supported,,
exp_01,1380,FP1nQWfHwc4,1,Allow me to recommend 'Zi speciala' by sky FX.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,439,Ea4tqbGn4TY,1,Allow me to recommend 'Deep in The Game' by Lowrider music.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,1238,S3-WmZyzJn4,3,It's a track from their album 'The Only Difference Between You,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,1284,3EdwStE0HkQ,2,It's a track from their album 'This Is the Last Time I Shake Your Hand'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,1518,nmII8NguHTE,2,It's a track from Bryan J's album 'Black Roses'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,767,SQguKdvJpzg,2,It's a track from their album 'Moya Moskva'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,2906,UHoWsIdccT4,1,Allow me to recommend 'Mi Sweetie' by Daddy K.,metadata,metadata-supported,metadata-supported,,uncheckable,,
exp_01,489,rZ1OT-hCNoI,5,is performed by NX Zero.,metadata,metadata-supported,metadata-supported,,uncheckable,,
