condition,bucket,bucket_label,n,share_of_no_source,share_of_all_claims
full,E7_degenerate_generation,生成崩潰（退化輸出）,0,0.0,0.0
full,E0_clause_split_artifact,斷句碎片（標註流程假影）,109,0.7622377622377622,0.1
full,E0b_rule_miss_verified,規則漏判但有證據支持,16,0.11188811188811189,0.014678899082568808
full,E1_preference_unsupported,偏好不支持,0,0.0,0.0
full,E2_metadata_unsupported,音樂元資料不支持,1,0.006993006993006993,0.0009174311926605505
full,E3_video_unsupported,影片內容不支持,1,0.006993006993006993,0.0009174311926605505
full,E4_vague_generic,一般性空泛描述／主觀陳述,14,0.0979020979020979,0.012844036697247707
full,E5_multi_source_ambiguous,多來源無法區分,0,0.0,0.0
full,E6_likely_hallucination,可能幻覺,2,0.013986013986013986,0.001834862385321101
wo_audio_all,E7_degenerate_generation,生成崩潰（退化輸出）,0,0.0,0.0
wo_audio_all,E0_clause_split_artifact,斷句碎片（標註流程假影）,119,0.7,0.11724137931034483
wo_audio_all,E0b_rule_miss_verified,規則漏判但有證據支持,14,0.08235294117647059,0.013793103448275862
wo_audio_all,E1_preference_unsupported,偏好不支持,0,0.0,0.0
wo_audio_all,E2_metadata_unsupported,音樂元資料不支持,13,0.07647058823529412,0.012807881773399015
wo_audio_all,E3_video_unsupported,影片內容不支持,0,0.0,0.0
wo_audio_all,E4_vague_generic,一般性空泛描述／主觀陳述,0,0.0,0.0
wo_audio_all,E5_multi_source_ambiguous,多來源無法區分,5,0.029411764705882353,0.0049261083743842365
wo_audio_all,E6_likely_hallucination,可能幻覺,19,0.11176470588235295,0.0187192118226601
wo_audio_feature_only,E7_degenerate_generation,生成崩潰（退化輸出）,0,0.0,0.0
wo_audio_feature_only,E0_clause_split_artifact,斷句碎片（標註流程假影）,121,0.7423312883435583,0.12696747114375656
wo_audio_feature_only,E0b_rule_miss_verified,規則漏判但有證據支持,16,0.09815950920245399,0.016789087093389297
wo_audio_feature_only,E1_preference_unsupported,偏好不支持,0,0.0,0.0
wo_audio_feature_only,E2_metadata_unsupported,音樂元資料不支持,5,0.03067484662576687,0.005246589716684155
wo_audio_feature_only,E3_video_unsupported,影片內容不支持,7,0.04294478527607362,0.007345225603357817
wo_audio_feature_only,E4_vague_generic,一般性空泛描述／主觀陳述,0,0.0,0.0
wo_audio_feature_only,E5_multi_source_ambiguous,多來源無法區分,2,0.012269938650306749,0.002098635886673662
wo_audio_feature_only,E6_likely_hallucination,可能幻覺,12,0.0736196319018405,0.012591815320041973
wo_ltp,E7_degenerate_generation,生成崩潰（退化輸出）,328,1.0,0.9969604863221885
wo_ltp,E0_clause_split_artifact,斷句碎片（標註流程假影）,0,0.0,0.0
wo_ltp,E0b_rule_miss_verified,規則漏判但有證據支持,0,0.0,0.0
wo_ltp,E1_preference_unsupported,偏好不支持,0,0.0,0.0
wo_ltp,E2_metadata_unsupported,音樂元資料不支持,0,0.0,0.0
wo_ltp,E3_video_unsupported,影片內容不支持,0,0.0,0.0
wo_ltp,E4_vague_generic,一般性空泛描述／主觀陳述,0,0.0,0.0
wo_ltp,E5_multi_source_ambiguous,多來源無法區分,0,0.0,0.0
wo_ltp,E6_likely_hallucination,可能幻覺,0,0.0,0.0
wo_prompt,E7_degenerate_generation,生成崩潰（退化輸出）,0,0.0,0.0
wo_prompt,E0_clause_split_artifact,斷句碎片（標註流程假影）,156,0.8863636363636364,0.1470311027332705
wo_prompt,E0b_rule_miss_verified,規則漏判但有證據支持,7,0.03977272727272727,0.006597549481621112
wo_prompt,E1_preference_unsupported,偏好不支持,0,0.0,0.0
wo_prompt,E2_metadata_unsupported,音樂元資料不支持,1,0.005681818181818182,0.000942507068803016
wo_prompt,E3_video_unsupported,影片內容不支持,0,0.0,0.0
wo_prompt,E4_vague_generic,一般性空泛描述／主觀陳述,2,0.011363636363636364,0.001885014137606032
wo_prompt,E5_multi_source_ambiguous,多來源無法區分,0,0.0,0.0
wo_prompt,E6_likely_hallucination,可能幻覺,10,0.056818181818181816,0.00942507068803016
wo_video,E7_degenerate_generation,生成崩潰（退化輸出）,0,0.0,0.0
wo_video,E0_clause_split_artifact,斷句碎片（標註流程假影）,125,0.7716049382716049,0.13312034078807242
wo_video,E0b_rule_miss_verified,規則漏判但有證據支持,15,0.09259259259259259,0.01597444089456869
wo_video,E1_preference_unsupported,偏好不支持,0,0.0,0.0
wo_video,E2_metadata_unsupported,音樂元資料不支持,6,0.037037037037037035,0.006389776357827476
wo_video,E3_video_unsupported,影片內容不支持,0,0.0,0.0
wo_video,E4_vague_generic,一般性空泛描述／主觀陳述,6,0.037037037037037035,0.006389776357827476
wo_video,E5_multi_source_ambiguous,多來源無法區分,4,0.024691358024691357,0.004259850905218318
wo_video,E6_likely_hallucination,可能幻覺,6,0.037037037037037035,0.006389776357827476
