sample_idx,video_id,gt_music_id,top1_music_id,top1_video_id,top1_is_gt,rank,preference_variant,generation_mode,prompt_variant,title_source,user_text,original_user_text,generated_text,reference_text,top1_reference_text,music_title,music_artist,generated_mentions_top1_title,generated_mentions_top1_artist,title_consistency,needs_manual_review,is_fallback,scope_note
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,0,4,original,top1_prompt_level_preference_counterfactual,original,top1_reference,"Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.","Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.","In that case, I would recommend 'Universe Of Dots' by Mona la Phona. This track has a beautiful indie and folk sound, with a touch of melancholy. It's part of the album 'Universe Of Dots' and would be a perfect fit for your video.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie sound with female vocals that bring a sense of melancholy. It's part of the album 'Wild Youth' and perfectly captures the emotions you're looking for in your video.","Allow me to recommend 'Universe Of Dots' by Mona la Phona. It's a live performance recorded at Hamburger Küchensessions. The song combines elements of folk, acoustic, and indie with female vocals. It has a guitar-focused sound which aligns well with your preferences.",Universe Of Dots,Mona la Phona,1,1,1,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,0,4,cf_upbeat_electronic,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.","Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.","In that case, I would recommend 'Universe Of Dots' by Mona la Phona. This track is part of the album 'Universe Of Dots' and offers a blend of indie, folk, and pop genres. It has a female vocalist and a guitar-driven sound, which adds a unique touch to the music. The energetic beats and modern dance vibe make it a perfect choice for your video.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie sound with female vocals that bring a sense of melancholy. It's part of the album 'Wild Youth' and perfectly captures the emotions you're looking for in your video.","Allow me to recommend 'Universe Of Dots' by Mona la Phona. It's a live performance recorded at Hamburger Küchensessions. The song combines elements of folk, acoustic, and indie with female vocals. It has a guitar-focused sound which aligns well with your preferences.",Universe Of Dots,Mona la Phona,1,1,1,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,0,4,cf_lyrical_piano,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.","In that case, I recommend 'Universe Of Dots' by Mona la Phona. This track has a beautiful lyrical piano melody with a slow tempo and a soft acoustic texture. It creates a gentle and sentimental mood that would be perfect for your video.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie sound with female vocals that bring a sense of melancholy. It's part of the album 'Wild Youth' and perfectly captures the emotions you're looking for in your video.","Allow me to recommend 'Universe Of Dots' by Mona la Phona. It's a live performance recorded at Hamburger Küchensessions. The song combines elements of folk, acoustic, and indie with female vocals. It has a guitar-focused sound which aligns well with your preferences.",Universe Of Dots,Mona la Phona,1,1,1,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,JFof9BQKYO8_FPJ4va7F1Uk,JFof9BQKYO8,0,4,original,top1_prompt_level_preference_counterfactual,original,top1_reference,That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,"Certainly! I recommend 'Kapris - Crystal Cavern'. It's a track from Kapris' album 'Crystal Cavern'. The song combines electronic and chillout elements, which aligns well with the style you're looking for. It was released in 2012 and has a unique and atmospheric sound.","Certainly! I would recommend 'TOPCRIMINAL' by Kapris. It's a track from their MIXTAPE 2009 'Analiz&Foseptik'. This song combines electronic, Hip-Hop, and ambient elements with a chillout vibe. It's a great choice if you want to incorporate Kapris' distinctive style into your video.","Certainly! How about 'Crystal Cavern' by Dirty Chocolate? It's an electronic track with ambient and chillout elements. The song has a techno and synth-focused sound, which adds a unique touch to the overall atmosphere. Although it's an unofficial video, the track itself fits well with the style you're looking for.",Crystal Cavern,Dirty Chocolate,1,0,0,1,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,JFof9BQKYO8_FPJ4va7F1Uk,JFof9BQKYO8,0,4,cf_upbeat_electronic,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.",That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,"In that case, I would recommend 'Crystal Cavern' by Dirty Chocolate. This track is a perfect fit for your video as it falls under the electronic genre with elements of dance, pop, and electro. It has a fast tempo and a bright mood that will add energy to your video.","Certainly! I would recommend 'TOPCRIMINAL' by Kapris. It's a track from their MIXTAPE 2009 'Analiz&Foseptik'. This song combines electronic, Hip-Hop, and ambient elements with a chillout vibe. It's a great choice if you want to incorporate Kapris' distinctive style into your video.","Certainly! How about 'Crystal Cavern' by Dirty Chocolate? It's an electronic track with ambient and chillout elements. The song has a techno and synth-focused sound, which adds a unique touch to the overall atmosphere. Although it's an unofficial video, the track itself fits well with the style you're looking for.",Crystal Cavern,Dirty Chocolate,1,1,1,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,JFof9BQKYO8_FPJ4va7F1Uk,JFof9BQKYO8,0,4,cf_lyrical_piano,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.",That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,"I understand your preference for lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood. In that case, I recommend 'Crystal Cavern' by Dirty Chocolate. It's a track from their album 'Crystal Cavern' and features lyrical piano and acoustic elements. The song has a beautiful and emotional sound that can create a soothing atmosphere in your video.","Certainly! I would recommend 'TOPCRIMINAL' by Kapris. It's a track from their MIXTAPE 2009 'Analiz&Foseptik'. This song combines electronic, Hip-Hop, and ambient elements with a chillout vibe. It's a great choice if you want to incorporate Kapris' distinctive style into your video.","Certainly! How about 'Crystal Cavern' by Dirty Chocolate? It's an electronic track with ambient and chillout elements. The song has a techno and synth-focused sound, which adds a unique touch to the overall atmosphere. Although it's an unofficial video, the track itself fits well with the style you're looking for.",Crystal Cavern,Dirty Chocolate,1,1,1,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
123,iWKoFZAX4MM,iWKoFZAX4MM_dVoN7QajNz8,HA76Wa7uUxw_1Tgp_sAqnbA,HA76Wa7uUxw,0,78,original,top1_prompt_level_preference_counterfactual,original,top1_reference,"I'm also looking for something with a summery vibe, possibly a collaboration that's been produced by a known band.","I'm also looking for something with a summery vibe, possibly a collaboration that's been produced by a known band.","In that case, 'Summer' by The Vamps, produced by The Vamps, would be a perfect fit. It's a track that captures the essence of summer with its catchy pop and indie rock elements. The Vamps are known for their energetic and upbeat music, and this collaboration is sure to bring a summery vibe to your video.","For a summery vibe with a distinguished collaboration, 'Summer Time' by EnThéos featuring Deys would be perfect. It's produced by Hot Chip, known for their eclectic mix of electronic, pop, and indie. The track has a lively feel, ideal for summer playlists, and it's part of the 'Dark and Stormy' album. Don't forget to check out the music video directed by Julius Jones-Carter for the full experience!","In that case, I would recommend the track 'Concrete Nouns Vs. Abstract Nouns'. This track falls under the indie, electronic, rock, pop, and alternative genres, making it a perfect fit for your video. While there is no specific information about the album name, artists, or track name, this track is a great choice to capture the indie and pop vibe you're looking for, with a mix of electronic and rock elements.",,,,,,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
123,iWKoFZAX4MM,iWKoFZAX4MM_dVoN7QajNz8,HA76Wa7uUxw_1Tgp_sAqnbA,HA76Wa7uUxw,0,78,cf_upbeat_electronic,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.","I'm also looking for something with a summery vibe, possibly a collaboration that's been produced by a known band.","In that case, I recommend 'Sunshine' by The Fray. This track combines electronic, rock, indie, and pop elements to create a vibrant and energetic sound. It has a clear rhythm and a modern dance or pop feel that will add a lively atmosphere to your video.","For a summery vibe with a distinguished collaboration, 'Summer Time' by EnThéos featuring Deys would be perfect. It's produced by Hot Chip, known for their eclectic mix of electronic, pop, and indie. The track has a lively feel, ideal for summer playlists, and it's part of the 'Dark and Stormy' album. Don't forget to check out the music video directed by Julius Jones-Carter for the full experience!","In that case, I would recommend the track 'Concrete Nouns Vs. Abstract Nouns'. This track falls under the indie, electronic, rock, pop, and alternative genres, making it a perfect fit for your video. While there is no specific information about the album name, artists, or track name, this track is a great choice to capture the indie and pop vibe you're looking for, with a mix of electronic and rock elements.",,,,,,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
123,iWKoFZAX4MM,iWKoFZAX4MM_dVoN7QajNz8,HA76Wa7uUxw_1Tgp_sAqnbA,HA76Wa7uUxw,0,78,cf_lyrical_piano,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","I'm also looking for something with a summery vibe, possibly a collaboration that's been produced by a known band.","I suggest checking out 'Love Is Alive' by The Fray. It's a track from their album 'Love Is Alive'. The song combines elements of rock, indie, pop, and electronic genres, with a focus on guitar and piano. It has a slow tempo and a soothing acoustic texture, which can create a calm and sentimental mood for your video.","For a summery vibe with a distinguished collaboration, 'Summer Time' by EnThéos featuring Deys would be perfect. It's produced by Hot Chip, known for their eclectic mix of electronic, pop, and indie. The track has a lively feel, ideal for summer playlists, and it's part of the 'Dark and Stormy' album. Don't forget to check out the music video directed by Julius Jones-Carter for the full experience!","In that case, I would recommend the track 'Concrete Nouns Vs. Abstract Nouns'. This track falls under the indie, electronic, rock, pop, and alternative genres, making it a perfect fit for your video. While there is no specific information about the album name, artists, or track name, this track is a great choice to capture the indie and pop vibe you're looking for, with a mix of electronic and rock elements.",,,,,,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
166,QKvUGxF7qzA,QKvUGxF7qzA_scdO5HE8so4,QKvUGxF7qzA_scdO5HE8so4,QKvUGxF7qzA,1,1,original,top1_prompt_level_preference_counterfactual,original,top1_reference,"That sounds good, but I would also like to incorporate some rock and punk elements in the music recommendation. I'm interested in fast-paced and loud tracks with guitar and techno influences.","That sounds good, but I would also like to incorporate some rock and punk elements in the music recommendation. I'm interested in fast-paced and loud tracks with guitar and techno influences.","Allow me to recommend 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines elements of rock, punk, and alternative with a fast-paced and loud sound. It has guitar and techno influences that could be a fitting choice for your video.","Let me suggest 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines rock, punk, and alternative rock genres with fast-paced guitar riffs and techno elements. This track can give your video a powerful and intense feel.","Let me suggest 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines rock, punk, and alternative rock genres with fast-paced guitar riffs and techno elements. This track can give your video a powerful and intense feel.",Stadt der Engel,Massendefekt,1,1,1,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
166,QKvUGxF7qzA,QKvUGxF7qzA_scdO5HE8so4,QKvUGxF7qzA_scdO5HE8so4,QKvUGxF7qzA,1,1,cf_upbeat_electronic,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.","That sounds good, but I would also like to incorporate some rock and punk elements in the music recommendation. I'm interested in fast-paced and loud tracks with guitar and techno influences.","In that case, I would recommend 'Stadt der Engel' by Massendefekt. This track is from their album 'Stadt der Engel' and it perfectly captures the upbeat electronic vibe you're looking for. It has a bright mood, clear rhythm, energetic beats, and a modern dance or pop feel. It's a great choice for your video.","Let me suggest 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines rock, punk, and alternative rock genres with fast-paced guitar riffs and techno elements. This track can give your video a powerful and intense feel.","Let me suggest 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines rock, punk, and alternative rock genres with fast-paced guitar riffs and techno elements. This track can give your video a powerful and intense feel.",Stadt der Engel,Massendefekt,1,1,1,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
166,QKvUGxF7qzA,QKvUGxF7qzA_scdO5HE8so4,QKvUGxF7qzA_scdO5HE8so4,QKvUGxF7qzA,1,1,cf_lyrical_piano,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","That sounds good, but I would also like to incorporate some rock and punk elements in the music recommendation. I'm interested in fast-paced and loud tracks with guitar and techno influences.","Allow me to recommend 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines elements of rock, alternative, and indie with a touch of electronic. It has a slow tempo and features lyrical piano, which can create a soothing and sentimental atmosphere for your video.","Let me suggest 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines rock, punk, and alternative rock genres with fast-paced guitar riffs and techno elements. This track can give your video a powerful and intense feel.","Let me suggest 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines rock, punk, and alternative rock genres with fast-paced guitar riffs and techno elements. This track can give your video a powerful and intense feel.",Stadt der Engel,Massendefekt,1,1,1,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
215,yyaNJKJ6y6k,yyaNJKJ6y6k_0hMrj3zZxB8,ahmgp5DyW64_ZrZqngJhrEc,ahmgp5DyW64,0,8,original,top1_prompt_level_preference_counterfactual,original,top1_reference,I like the sound of that but was hoping for something with a bit more of an electronic and dance feel. Something that really gets the energy up.,I like the sound of that but was hoping for something with a bit more of an electronic and dance feel. Something that really gets the energy up.,"In that case, I'd recommend 'Bed In' by ベッド・イン. This track is a perfect fit for your needs, as it combines electronic, dance, and pop elements with a touch of rock. It's a high-energy song that will definitely get the energy up in your video.","In that case, 'The Pretender' by Infected Mushroom would be a perfect fit. This track is from their album 'Army of Mushrooms' and combines electronic, dance, electronica, and rock elements for an energetic and engaging listen. It's known for its techno, fast, electronic, loud, and dance characteristics, making it great for lifting the energy of any project.","Allow me to recommend '♂×♀×ポーカーゲーム' by ベッド・イン. It's a track from their album '♂×♀×ポーカーゲーム / 消えちゃうパープルバタフライ'. The song combines elements of dance, electronic, and pop music with indie and electro influences. It aligns well with the energetic and fast-paced sound you're looking for in your video.",♂×♀×ポーカーゲーム,ベッド・イン,0,1,0,1,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
215,yyaNJKJ6y6k,yyaNJKJ6y6k_0hMrj3zZxB8,ahmgp5DyW64_ZrZqngJhrEc,ahmgp5DyW64,0,8,cf_upbeat_electronic,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.",I like the sound of that but was hoping for something with a bit more of an electronic and dance feel. Something that really gets the energy up.,"In that case, I recommend '♂×♀×ポーカーゲーム' by ベッド・イン. This track is from their album '♂×♀×ポーカーゲーム' and offers the perfect blend of electronic, dance, pop, and rock genres. It has a fast tempo and a catchy rhythm that will give your video a lively and energetic feel.","In that case, 'The Pretender' by Infected Mushroom would be a perfect fit. This track is from their album 'Army of Mushrooms' and combines electronic, dance, electronica, and rock elements for an energetic and engaging listen. It's known for its techno, fast, electronic, loud, and dance characteristics, making it great for lifting the energy of any project.","Allow me to recommend '♂×♀×ポーカーゲーム' by ベッド・イン. It's a track from their album '♂×♀×ポーカーゲーム / 消えちゃうパープルバタフライ'. The song combines elements of dance, electronic, and pop music with indie and electro influences. It aligns well with the energetic and fast-paced sound you're looking for in your video.",♂×♀×ポーカーゲーム,ベッド・イン,1,1,1,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
215,yyaNJKJ6y6k,yyaNJKJ6y6k_0hMrj3zZxB8,ahmgp5DyW64_ZrZqngJhrEc,ahmgp5DyW64,0,8,cf_lyrical_piano,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.",I like the sound of that but was hoping for something with a bit more of an electronic and dance feel. Something that really gets the energy up.,"Allow me to recommend 'Love is a Battlefield' by ベッド・イン. It's a track from their album 'Love is a Battlefield'. This song combines elements of electronic, dance, and pop genres with a touch of rock. It has a fast-paced techno sound with a strong beat, which could be a fitting choice for your video.","In that case, 'The Pretender' by Infected Mushroom would be a perfect fit. This track is from their album 'Army of Mushrooms' and combines electronic, dance, electronica, and rock elements for an energetic and engaging listen. It's known for its techno, fast, electronic, loud, and dance characteristics, making it great for lifting the energy of any project.","Allow me to recommend '♂×♀×ポーカーゲーム' by ベッド・イン. It's a track from their album '♂×♀×ポーカーゲーム / 消えちゃうパープルバタフライ'. The song combines elements of dance, electronic, and pop music with indie and electro influences. It aligns well with the energetic and fast-paced sound you're looking for in your video.",♂×♀×ポーカーゲーム,ベッド・イン,0,1,0,1,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
256,JOUczfMaLTE,JOUczfMaLTE_F91pQy19-j0,qc7wevDH1OE_nkzZ3Cro0vU,qc7wevDH1OE,0,20,original,top1_prompt_level_preference_counterfactual,original,top1_reference,"That sounds great, but I want to incorporate elements of Juaninacka's style into the music as well. I'm looking for a track that combines hip-hop and electronic genres, with a chillout and rock vibe. Can you recommend something like that?","That sounds great, but I want to incorporate elements of Juaninacka's style into the music as well. I'm looking for a track that combines hip-hop and electronic genres, with a chillout and rock vibe. Can you recommend something like that?","I suggest checking out 'Жизнь' by Juaninacka. It's a track from his album 'Жизнь'. This song combines elements of hip-hop, electronic, and rock genres, with a chillout vibe. It was released in 2012 and has a unique blend of styles that could be a fitting choice for your video.",Allow me to recommend 'Fe' by Juaninacka. It's a track from his album '41100 Rock'. This song blends hip-hop and electronic elements with a chillout and rock influence. It was released as an official music video and captures the essence of Juaninacka's unique style. The track was recorded as part of his discography and may have the specific elements you're looking for.,"Allow me to recommend 'Жизнь' by Чеботарев. It's a track from their album 'Экзамены'. It combines elements of hip-hop, electronic beats, and rock with instrumental components. It has a slow-paced rhythm, which may align well with the mood you're looking for in your video.",Жизнь,Чеботарев,1,0,0,1,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
