sample_idx,video_id,gt_music_id,condition,condition_description,claim_id,claim_text,claim_type,support_source,removed_source,is_supported,unsupported_reason,generated_text,llm_support_source,llm_is_supported,llm_reason,llm_raw,rule_support_source,rule_is_supported,agree_support_source,agree_is_supported
2455,gRKzFMRviAs,gRKzFMRviAs_qbZBq5WNw3k,full,all modalities available; title/artist injection follows INJECT_TITLE,5,It has a fast-paced techno beat,audio,audio-supported,,1,source_available,"Certainly! I recommend 'Dance With Me' by D.J. Antoine. It's a track from the album 'Dance With Me'. This song combines elements of electronic, house, and pop with a touch of rock. It has a fast-paced techno beat and a catchy melody that could add a dynamic and energetic vibe to your video.",audio-supported,1,Claim is supported by the description of the song's genre and tempo.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the description of the song's genre and tempo.""
}",audio-supported,1,1,1
3256,cqoeZEweGy4,cqoeZEweGy4_HYgZR5EiTsM,full,all modalities available; title/artist injection follows INJECT_TITLE,5,It was released in 2012,unknown,unsupported,,0,no_detected_support_source,"Certainly! How about 'Uradi pravu stvar' by I? It's a track from their album 'Uradi pravu stvar'. The song combines hip-hop, R&B, and soul elements with electronic and pop influences. It was released in 2012 and could add a unique touch to your video.",audio-supported,1,Claim is supported by the song's metadata and genre information.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the song's metadata and genre information.""
}",unsupported,0,0,0
313,z7Dy7s5tg2o,z7Dy7s5tg2o_ziYVQWdqAEM,full,all modalities available; title/artist injection follows INJECT_TITLE,2,It's a track from his album 'Sunshine'.,audio,audio-supported,,1,source_available,"Certainly! How about 'Sunshine' by Danny Avila? It's a track from his album 'Sunshine'. This song combines elements of dance, electronic, pop, and house music. It has a catchy beat and a vibrant energy that could be a fitting choice for your video.",audio-supported,1,Claim is supported by the music sound and genre information provided.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the music sound and genre information provided.""
}",audio-supported,1,1,1
1897,bTOju_n8BJ4,bTOju_n8BJ4_ym5bIhHJvM4,full,all modalities available; title/artist injection follows INJECT_TITLE,2,This track has a dance,video,video-supported,,1,source_available,Certainly! I would recommend 'My life is mine' by Miriam Reyes. This track has a dance and electronic sound with female vocals. It's part of the album 'My life is mine' and offers a catchy and energetic vibe that would be perfect for your video.,audio-supported,1,Claim is supported by the music sound and genre mentioned in the explanation.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the music sound and genre mentioned in the explanation.""
}",video-supported,1,0,1
3587,K7KMRBoqQUg,K7KMRBoqQUg_P56SorCCSmI,full,all modalities available; title/artist injection follows INJECT_TITLE,3,"This song combines elements of electronic, pop",audio,audio-supported,,1,source_available,"Allow me to recommend 'Shooting Star' by Owl City. It's a track from their album 'Shooting Star'. This song combines elements of electronic, pop, and indie genres, which aligns well with Owl City's distinctive style. It has a fast tempo and a catchy melody that can add energy to your video.",audio-supported,1,Claim relies on music genre and style information from the audio modality.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music genre and style information from the audio modality.""
}",audio-supported,1,1,1
685,SSmTgwp15FQ,SSmTgwp15FQ_SH8esP19qww,full,all modalities available; title/artist injection follows INJECT_TITLE,1,"In that case, I would recommend 'Why God Made Love Songs' by Joel Crouse.",audio,audio-supported,,1,source_available,"In that case, I would recommend 'Why God Made Love Songs' by Joel Crouse. This track has a pop sound with elements of rock, indie, and alternative. It also has a touch of 80s influence, which adds a nostalgic feel to the music. It's a perfect fit for your video.",audio-supported,1,"Recommendation based on music genre, sound, and nostalgic feel.","{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Recommendation based on music genre, sound, and nostalgic feel.""
}",audio-supported,1,1,1
3819,qIJqSGTpfA0,qIJqSGTpfA0_babtBEl69zc,full,all modalities available; title/artist injection follows INJECT_TITLE,5,The song has a unique,audio,audio-supported,,1,source_available,"Allow me to recommend 'Shining Crane' by dESEO. It's a track from their album 'Shining Crane'. It combines elements of indie, pop, and dance with electronic beats and a fast-paced tempo. The song has a unique and catchy sound that could be a fitting choice for your video.",audio-supported,1,"The claim relies on the song's unique sound and tempo, which can be inferred from its audio features.","{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""The claim relies on the song's unique sound and tempo, which can be inferred from its audio features.""
}",audio-supported,1,1,1
2813,TFAyPoHmcBQ,TFAyPoHmcBQ_H_K1mi0EPdQ,full,all modalities available; title/artist injection follows INJECT_TITLE,2,This track has a rock,audio,audio-supported,,1,source_available,"In that case, I would recommend 'Let's Get By' by Paddy Clegg. This track has a rock and indie sound with elements of alternative and indie rock. It's a catchy and energetic song that will add a unique touch to your video.",audio-supported,1,The claim is supported by the music sound and genre mentioned in the explanation.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""The claim is supported by the music sound and genre mentioned in the explanation.""
}",audio-supported,1,1,1
1950,XS7C6uA8H7Y,XS7C6uA8H7Y_-xufahb_Szs,full,all modalities available; title/artist injection follows INJECT_TITLE,1,I would recommend 'Planos impossiveis' by Manu Gavassi.,general,general-supported,,1,source_available,"Certainly! I would recommend 'Planos impossiveis' by Manu Gavassi. This track is a pop song with female vocals. It has a catchy melody and a positive message, which would be a great fit for your video.",audio-supported,1,Claim relies on music sound and genre features.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music sound and genre features.""
}",general-supported,1,0,1
839,_0kWPBMmYEU,_0kWPBMmYEU_p21n2iGmd_s,full,all modalities available; title/artist injection follows INJECT_TITLE,5,pop with female vocals,audio,audio-supported,,1,source_available,"Allow me to recommend 'I'm Alive' by J.R. featuring J.R. & The Soul Survivors. It's a track from their album 'I'm Alive'. The song combines elements of hip-hop, soul, and pop with female vocals and drum beats. It was released in 2010 and has a catchy and energetic vibe that could be a fitting choice for your video.",audio-supported,1,Claim is supported by the description of the song's genre and vocals.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the description of the song's genre and vocals.""
}",audio-supported,1,1,1
