k,cluster,sample_idx,video_id,youtube_url,title,artist,duration_sec,view_count,cluster_name,note
3,0,621,DNcMf8PEQRQ,https://www.youtube.com/watch?v=DNcMf8PEQRQ,Jalil Lopez feat. Rick Ross & DJ Khaled - America's Most Wanted,Demetrius Li,231,2618,,
3,0,2616,qXY1pHq2BFY,https://www.youtube.com/watch?v=qXY1pHq2BFY,Ces Cru - Colosseum,Ubi,271,471564,,
3,0,4189,K1NwXK2l6hA,https://www.youtube.com/watch?v=K1NwXK2l6hA,My Business - iBri * 5 year old rapper *,JaiJaiMusiq,170,4022,,
3,0,2184,FZaAeXXsuRA,https://www.youtube.com/watch?v=FZaAeXXsuRA,TOUAREG- des gars fiables,G-Kuts,233,4960,,
3,0,3811,2Rcv4kR9YsE,https://www.youtube.com/watch?v=2Rcv4kR9YsE,"M'Tiko-""To..."" [Official iPad Version :D]",Mkrtich Liveshow,199,97081,,
3,0,1371,f5bIc2i35s4,https://www.youtube.com/watch?v=f5bIc2i35s4,Ministros Liricos - Revolucion (Videoclip Oficial),MinistrosLiricos,262,12002,,
3,0,3747,XWsqLs7Z0Fw,https://www.youtube.com/watch?v=XWsqLs7Z0Fw,MC DEDE - CHEGA NA HUMILDADE ♪ DJ BRUNINHO FZR [[LANÇAMENTO 2012]],Edson Kazuo,244,2044,,
3,0,1102,Mu7FJGPdz6w,https://www.youtube.com/watch?v=Mu7FJGPdz6w,HunnitG - You Aint Know (MUSIC VIDEO) HD,HunnitG ZG,139,2217,,
3,0,4072,NGyJmYhMfHc,https://www.youtube.com/watch?v=NGyJmYhMfHc,Jay Da Costa - Das Leben eines Stars (Official Music Video),CSME,222,3563,,
3,0,1634,2mRrXQfI-zQ,https://www.youtube.com/watch?v=2mRrXQfI-zQ,Official Video_Zero8Klan 'La Nascita'.,08KLAN,200,21574,,
3,0,392,ilgzgtS8NjE,https://www.youtube.com/watch?v=ilgzgtS8NjE,FUERTE LATIDO BY @CENSURAMAESTRA,CENSURA MAESTRA,248,5057,,
