sample_idx,video_id,gt_music_id,top1_music_id,top1_video_id,top1_is_gt,rank,preference_variant,generation_mode,prompt_variant,title_source,user_text,original_user_text,generated_text,reference_text,top1_reference_text,music_title,music_artist,generated_mentions_top1_title,generated_mentions_top1_artist,title_consistency,needs_manual_review,is_fallback,scope_note
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,0,5,original,top1_prompt_level_preference_counterfactual,original,top1_reference,"Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.","Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.","100% In that case, I would recommend 'Songbird' by Mona la Phona. This track has a beautiful indie and folk sound, with a touch of melancholy. It's part of the album 'Songbird' and it's performed by Mona la Phona.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie sound with female vocals that bring a sense of melancholy. It's part of the album 'Wild Youth' and perfectly captures the emotions you're looking for in your video.","Allow me to recommend 'Universe Of Dots' by Mona la Phona. It's a live performance recorded at Hamburger Küchensessions. The song combines elements of folk, acoustic, and indie with female vocals. It has a guitar-focused sound which aligns well with your preferences.",Universe Of Dots,Mona la Phona,0,1,0,1,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,0,5,cf_upbeat_electronic,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.","Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.","1. 'Universe Of Dots' by Mona la Phona. It's a track from her album 'Universe Of Dots'. The song combines elements of folk, indie, and pop with a female vocalist. It has a guitar-driven sound and a catchy melody that could be a fitting choice for your video.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie sound with female vocals that bring a sense of melancholy. It's part of the album 'Wild Youth' and perfectly captures the emotions you're looking for in your video.","Allow me to recommend 'Universe Of Dots' by Mona la Phona. It's a live performance recorded at Hamburger Küchensessions. The song combines elements of folk, acoustic, and indie with female vocals. It has a guitar-focused sound which aligns well with your preferences.",Universe Of Dots,Mona la Phona,1,1,1,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
54,_8YWB9SlUFU,_8YWB9SlUFU_QP5qHCe9FP4,X9qC7p7L7Ak_8zXy6LPpr1Y,X9qC7p7L7Ak,0,5,cf_lyrical_piano,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","Sounds good, but I'm looking for something with a more indie and folk sound, with a touch of melancholy.","100% For You by Mona la Phona is a perfect match for your requirements. It's a beautiful song with lyrical piano, slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","In that case, I would recommend 'Youth' by Daughter. This track has a beautiful indie sound with female vocals that bring a sense of melancholy. It's part of the album 'Wild Youth' and perfectly captures the emotions you're looking for in your video.","Allow me to recommend 'Universe Of Dots' by Mona la Phona. It's a live performance recorded at Hamburger Küchensessions. The song combines elements of folk, acoustic, and indie with female vocals. It has a guitar-focused sound which aligns well with your preferences.",Universe Of Dots,Mona la Phona,0,1,0,1,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,VRzlaPsX3FM_RCAZ3KeG6MQ,VRzlaPsX3FM,0,31,original,top1_prompt_level_preference_counterfactual,original,top1_reference,That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,100% Sure! I recommend 'Kapris - 2012' by Kapris. It's an electronic track with elements of chillout and electronica. The song has a relaxed and soothing vibe that could complement your video nicely.,"Certainly! I would recommend 'TOPCRIMINAL' by Kapris. It's a track from their MIXTAPE 2009 'Analiz&Foseptik'. This song combines electronic, Hip-Hop, and ambient elements with a chillout vibe. It's a great choice if you want to incorporate Kapris' distinctive style into your video.","Allow me to recommend the 'YELLOW ALBUM Trailer' by RAW-T. Although I don't have specific information about this track, based on RAW-T's style, it's likely to have elements of electronic, Hip-Hop, chillout, R&B, and techno with synth and drum beats. This combination could be a fitting choice for your video.",YELLOW ALBUM Trailer,RAW-T,0,0,0,1,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,VRzlaPsX3FM_RCAZ3KeG6MQ,VRzlaPsX3FM,0,31,cf_upbeat_electronic,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.",That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,"100% Based on your preferences, I recommend 'YELLOW ALBUM Trailer by RAW-T'. It's an electronic track with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling. It aligns perfectly with your requirements.","Certainly! I would recommend 'TOPCRIMINAL' by Kapris. It's a track from their MIXTAPE 2009 'Analiz&Foseptik'. This song combines electronic, Hip-Hop, and ambient elements with a chillout vibe. It's a great choice if you want to incorporate Kapris' distinctive style into your video.","Allow me to recommend the 'YELLOW ALBUM Trailer' by RAW-T. Although I don't have specific information about this track, based on RAW-T's style, it's likely to have elements of electronic, Hip-Hop, chillout, R&B, and techno with synth and drum beats. This combination could be a fitting choice for your video.",YELLOW ALBUM Trailer,RAW-T,1,1,1,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
104,iV3xE72xNJg,iV3xE72xNJg_K124ajZigxc,VRzlaPsX3FM_RCAZ3KeG6MQ,VRzlaPsX3FM,0,31,cf_lyrical_piano,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.",That sounds great! Can you also suggest a music that incorporates Kapris' electronic and chillout style?,"1. 'Piano' by 2Pac from the album 'Piano'. It's a track with lyrical piano background music that aligns with your preferences. The song has a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","Certainly! I would recommend 'TOPCRIMINAL' by Kapris. It's a track from their MIXTAPE 2009 'Analiz&Foseptik'. This song combines electronic, Hip-Hop, and ambient elements with a chillout vibe. It's a great choice if you want to incorporate Kapris' distinctive style into your video.","Allow me to recommend the 'YELLOW ALBUM Trailer' by RAW-T. Although I don't have specific information about this track, based on RAW-T's style, it's likely to have elements of electronic, Hip-Hop, chillout, R&B, and techno with synth and drum beats. This combination could be a fitting choice for your video.",YELLOW ALBUM Trailer,RAW-T,0,0,0,1,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
123,iWKoFZAX4MM,iWKoFZAX4MM_dVoN7QajNz8,imGTQjHNEMg_vekZMIc46OI,imGTQjHNEMg,0,116,original,top1_prompt_level_preference_counterfactual,original,top1_reference,"I'm also looking for something with a summery vibe, possibly a collaboration that's been produced by a known band.","I'm also looking for something with a summery vibe, possibly a collaboration that's been produced by a known band.",100% For You (feat. Mano) by Mano; 100% For You (feat. Mano) [Radio Edit] by Mano; 100% For You (feat. Mano) [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit] [Radio Edit,"For a summery vibe with a distinguished collaboration, 'Summer Time' by EnThéos featuring Deys would be perfect. It's produced by Hot Chip, known for their eclectic mix of electronic, pop, and indie. The track has a lively feel, ideal for summer playlists, and it's part of the 'Dark and Stormy' album. Don't forget to check out the music video directed by Julius Jones-Carter for the full experience!","Certainly! How about 'Maybe Tonight' by Mano? It's a dance-pop track with electronic and house influences, but it also incorporates elements of rock and synth. The combination of these genres creates a unique sound that could be a fitting choice for your video. Although I don't have much information about the specific track, it's worth exploring as it might have the blend of rock and synth you're looking for.",Maybe Tonight,Mano,0,1,0,1,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
123,iWKoFZAX4MM,iWKoFZAX4MM_dVoN7QajNz8,imGTQjHNEMg_vekZMIc46OI,imGTQjHNEMg,0,116,cf_upbeat_electronic,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.","I'm also looking for something with a summery vibe, possibly a collaboration that's been produced by a known band.","100% For you, I recommend 'Maybe Tonight' by Mano. It's an electronic track with a pop and dance vibe. The song has a fast tempo and a catchy beat that will add energy to your video.","For a summery vibe with a distinguished collaboration, 'Summer Time' by EnThéos featuring Deys would be perfect. It's produced by Hot Chip, known for their eclectic mix of electronic, pop, and indie. The track has a lively feel, ideal for summer playlists, and it's part of the 'Dark and Stormy' album. Don't forget to check out the music video directed by Julius Jones-Carter for the full experience!","Certainly! How about 'Maybe Tonight' by Mano? It's a dance-pop track with electronic and house influences, but it also incorporates elements of rock and synth. The combination of these genres creates a unique sound that could be a fitting choice for your video. Although I don't have much information about the specific track, it's worth exploring as it might have the blend of rock and synth you're looking for.",Maybe Tonight,Mano,1,1,1,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
123,iWKoFZAX4MM,iWKoFZAX4MM_dVoN7QajNz8,imGTQjHNEMg_vekZMIc46OI,imGTQjHNEMg,0,116,cf_lyrical_piano,top1_prompt_level_preference_counterfactual,original,top1_reference,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","I'm also looking for something with a summery vibe, possibly a collaboration that's been produced by a known band.","100% For you, I recommend 'Maybe Tonight' by Mano. It's a track from the album 'Maybe Tonight' and it perfectly matches your preferences. The song has a lyrical piano background with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","For a summery vibe with a distinguished collaboration, 'Summer Time' by EnThéos featuring Deys would be perfect. It's produced by Hot Chip, known for their eclectic mix of electronic, pop, and indie. The track has a lively feel, ideal for summer playlists, and it's part of the 'Dark and Stormy' album. Don't forget to check out the music video directed by Julius Jones-Carter for the full experience!","Certainly! How about 'Maybe Tonight' by Mano? It's a dance-pop track with electronic and house influences, but it also incorporates elements of rock and synth. The combination of these genres creates a unique sound that could be a fitting choice for your video. Although I don't have much information about the specific track, it's worth exploring as it might have the blend of rock and synth you're looking for.",Maybe Tonight,Mano,1,1,1,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
166,QKvUGxF7qzA,QKvUGxF7qzA_scdO5HE8so4,QKvUGxF7qzA_scdO5HE8so4,QKvUGxF7qzA,1,1,original,top1_prompt_level_preference_counterfactual,original,top1_reference,"That sounds good, but I would also like to incorporate some rock and punk elements in the music recommendation. I'm interested in fast-paced and loud tracks with guitar and techno influences.","That sounds good, but I would also like to incorporate some rock and punk elements in the music recommendation. I'm interested in fast-paced and loud tracks with guitar and techno influences.","1. 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines elements of rock, punk, and alternative with fast-paced guitar and techno beats. It was released in 2013 and has a distinctive sound that could be a fitting choice for your video.","Let me suggest 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines rock, punk, and alternative rock genres with fast-paced guitar riffs and techno elements. This track can give your video a powerful and intense feel.","Let me suggest 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines rock, punk, and alternative rock genres with fast-paced guitar riffs and techno elements. This track can give your video a powerful and intense feel.",Stadt der Engel,Massendefekt,1,1,1,0,0,top1_generation_prompt_text_changed_only_precomputed_text_feature_unchanged
