exp,sample_idx,video_id,claim_id,claim_text,claim_type,support_source,parent_source,attribute_terms,verification,reference_positive_evidence,reference_negative_evidence
full,57,2aXypurqNlA,1,Allow me to recommend 'Before I Was Saved' by LJAYE.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,57,2aXypurqNlA,2,It's a track from their album 'Before I Was Saved'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,57,2aXypurqNlA,3,The song features a male vocalist,audio,audio-supported,audio-supported,,,,
full,57,2aXypurqNlA,4,"combines elements of rock, pop",audio,audio-supported,audio-supported,,,,
full,57,2aXypurqNlA,5,"It has a guitar-driven sound with prominent drums, which could be a fitting choice for your video.",audio,audio-supported,audio-supported,,,,
full,87,XCfdu5SAhiE,1,I recommend 'The Last One' by Obsessive Compulsive.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,87,XCfdu5SAhiE,2,It's a track from their album 'The Last One'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,87,XCfdu5SAhiE,3,"The song combines elements of heavy metal, rock",audio,audio-supported,audio-supported,,,,
full,87,XCfdu5SAhiE,4,It has a powerful,unknown,unsupported,audio-supported,,,,
full,87,XCfdu5SAhiE,5,energetic sound that could be a fitting choice for your video.,audio,audio-supported,audio-supported,,,,
full,94,o5Y6dgFL1a8,1,Allow me to recommend 'O Meu Chamado' by Julio Luz.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,94,o5Y6dgFL1a8,2,It's a track from their album 'O Meu Chamado'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,94,o5Y6dgFL1a8,3,"The song combines elements of rock, indie",audio,audio-supported,audio-supported,,,,
full,94,o5Y6dgFL1a8,4,"blues, which aligns well with Renato's distinctive style.",unknown,unsupported,audio-supported,,,,
full,94,o5Y6dgFL1a8,5,It was released in 2014,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,94,o5Y6dgFL1a8,6,has a mix of guitar,audio,audio-supported,audio-supported,,,,
full,107,RVNvBnar_rI,1,How about 'BMF (Big_Heat)' by Romeo Mystic?,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,107,RVNvBnar_rI,2,"It's a track that combines elements of pop, rock, soul",audio,audio-supported,audio-supported,,,,
full,107,RVNvBnar_rI,3,"Although I don't have much information about the specific album or artists, the song itself has a mix of energetic beats",metadata,metadata-supported,metadata-supported,beat;beats;energetic,partially_supported,,
full,107,RVNvBnar_rI,4,soulful vocals that could be a fitting choice for your video.,audio,audio-supported,audio-supported,,,,
full,137,sAelu_dNL8o,1,Allow me to recommend 'Silva Duss' by Silva Duss.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,137,sAelu_dNL8o,2,It's a track from his album 'Silva Duss'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,137,sAelu_dNL8o,3,"It combines elements of hip-hop, electronic",audio,audio-supported,audio-supported,,,,
full,137,sAelu_dNL8o,4,pop with a chillout,unknown,unsupported,audio-supported,,,,
full,137,sAelu_dNL8o,5,The song has a pop influence,audio,audio-supported,audio-supported,,,,
full,137,sAelu_dNL8o,6,"was released in 2013, which may contain the specific elements you want.",prompt,prompt-supported,prompt-supported,,,,
full,147,CX5a4IWs26Q,1,How about 'Phantom Girl's First Love' by 坂本美雨?,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,147,CX5a4IWs26Q,2,"It's an electronic track with elements of rock, indie",unknown,unsupported,unsupported,,,,
