exp,sample_idx,video_id,claim_id,claim_text,claim_type,support_source,parent_source,attribute_terms,verification,reference_positive_evidence,reference_negative_evidence
exp_01,11,FM3zPkIULME,4,"guitar elements, which align with your preferences.",preference,preference-supported,preference-supported,guitar,supported,"the user demonstrates a clear preference for rock music characterized by raw emotion, haunting melodies, and phenomenal guitar work. while appreciating a driving rhythm, they generally favor a less frantic and more subdued atmosphere. they enjoy prominent vocals and acoustic elements, finding comfort in quieter, more introspective music. the user's taste leans towards music that evokes a specific mood, suggesting a sensitivity to tempo and overall energy. they are open to exploring different styles, but ultimately seek music that resonates with a sense of beauty and emotional depth, rather than purely energetic or upbeat sounds. the user prefers rock music with raw emotionality and haunting melodies. the user appreciates strong guitar work and a driving rhythm in rock music. the user generally prefers a less frantic and more subdued musical atmosphere. the user enjoys music with prominent vocals. the user appreciates acoustic elements and a beautiful, introspective feel in music. the user is open to exploring music that evokes a specific mood.",the user finds fast tempos and highly energetic music to be less appealing.
exp_01,64,ezptTfTjBOU,4,"alternative rock genres, which align with your preferences.",preference,preference-supported,preference-supported,alternative;rock,supported,"the user demonstrates a clear preference for energetic rock music characterized by driving beats and prominent guitar work. they gravitate towards alternative and indie rock styles, appreciating a pop sensibility that enhances the overall appeal. the user appreciates a strong rhythm and energetic vibe but seeks balance and clarity in the overall mix. the user prefers alternative and indie rock music. the user enjoys music with a driving beat and prominent guitar riffs. the user appreciates a pop sensibility within rock music.","while they enjoy powerful drums and catchy riffs, the user avoids excessively loud or chaotic arrangements, preferring a sense of space between instruments. they find intense or 'shouty' vocals less appealing and seem to value a more polished and less raw sound, suggesting a dislike for heavier metal influences. the user dislikes music described as 'chaotic' or overly intense. the user prefers a more balanced mix with space between instruments, avoiding overly loud or layered arrangements. the user finds 'shouty' or layered vocals less appealing. the user avoids music with heavy metal influences."
exp_01,114,KW9L4ZWFlHw,6,has a distinctive style that aligns well with your preferences.,preference,preference-supported,preference-supported,,uncheckable,"the user demonstrates a strong affinity for energetic electronic music, particularly tracks with driving techno rhythms and fast tempos. they appreciate a blend of electronic and urban elements, enjoying the fusion of dance music with hip-hop and r&b influences. while they find intense energy appealing, they also value a degree of smoothness and consistency in the beat. male vocals are a recurring positive element, and the user seems drawn to music that evokes a cool, urban vibe. they are less receptive to overly loud or intensely energetic tracks, preferring a more balanced and nuanced sonic experience. the user prefers energetic electronic music with driving techno rhythms. the user enjoys fast tempos and music that makes them want to move. the user appreciates a blend of electronic, hip-hop, and r&b elements in music. the user favors music with male vocals. the user prefers a 'cool, urban vibe' in their music selections. the user appreciates a degree of smoothness and consistency in the beat.",the user finds overly loud or intensely energetic tracks less appealing.
exp_01,118,VhxFY_TjyJ0,6,has a unique blend of genres that align with your preferences.,preference,preference-supported,preference-supported,,uncheckable,"the user demonstrates a strong preference for energetic and dynamic electronic music, particularly a blend of techno and hip-hop. they are drawn to tracks with powerful, driving techno beats and complex, layered drum patterns, emphasizing a deep, rumbling bassline as a crucial element. vocals are appreciated when processed with a distinctive, often slightly distorted effect, contributing to an immersive soundscape. they value a sense of raw energy and a beat that compels movement. the user strongly prefers electronic music, specifically a fusion of techno and hip-hop. a driving, powerful techno beat is a key element in the user's preferred music. the user appreciates complex, layered drum patterns with syncopation. a deep, rumbling bassline is considered essential for the user’s enjoyment. the user enjoys vocals with a processed or slightly distorted effect. the user values music that creates an immersive soundscape.","while open to exploring related styles, the user generally dislikes music that is overly smooth, polished, or lacks a strong rhythmic drive and intensity. the user dislikes music described as 'smooth' or 'polished,' preferring a more raw and energetic feel."
exp_01,153,mvxX8bieRS4,5,"folk, which aligns well with your preferences.",preference,preference-supported,preference-supported,folk,not_found,"the user demonstrates a clear preference for music characterized by energy and uplifting qualities, often seeking tracks with a dynamic feel and strong instrumentation. they are particularly drawn to indie and rock genres, with a strong appreciation for female vocalists and prominent guitar work. they value emotional depth and passionate vocals, and appreciate music that evokes a sense of movement and connection, though they also appreciate stripped-down, raw sounds. the user prefers indie and rock music genres. the user enjoys music featuring female vocalists. the user appreciates prominent guitar work and dynamic instrumentation. the user favors music with an uplifting and energetic mood. the user values emotional depth and passionate vocals in music. the user appreciates raw, almost chaotic energy in music.","while open to exploring new sounds, the user gravitates towards music with a sense of organic feel and avoids overly polished or electronic productions. the user prefers music with an organic feel and avoids overly polished or electronic productions. the user finds intensely energetic, electronic music overwhelming."
exp_01,160,Pl5HThRM9Jw,4,"fast-paced drums, which aligns well with your preferences.",preference,preference-supported,preference-supported,drum;drums;fast-paced,partially_supported,"the user demonstrates a strong preference for energetic rock music, particularly within the alternative rock subgenre. they appreciate a driving beat and powerful instrumentation, especially layered guitars and prominent drums. upbeat moods are favored, and the user seeks music that inspires movement and possesses a blend of energy and melody. the user values raw emotion and impactful, singalong elements within their music choices. the user strongly prefers alternative rock music. a driving beat and prominent drums are essential elements for the user. the user favors upbeat and energetic music that inspires movement. the user appreciates layered guitars and powerful instrumentation. the user values raw emotion and singalong elements in music. the user is open to cinematic influences, but prefers a more direct and impactful sound.","while open to cinematic influences, they generally prefer a more straightforward feel and heavier instrumentation, showing a dislike for abstract concepts and synthetic sounds. the user tends to avoid music with abstract concepts or titles. the user dislikes music featuring prominent synth work."
exp_01,172,-hqbkY1-iLQ,6,has a unique sound that aligns with your preferences.,preference,preference-supported,preference-supported,,uncheckable,"the user demonstrates a strong preference for energetic and driving rock music, particularly appreciating a powerful, guitar-driven sound with a heavy and loud feel. they enjoy music with a palpable punch and a driving rhythm, appreciating a strong beat. while open to exploring new sounds, the user finds overly chaotic or sterile music unappealing. they seem to favor a more controlled and raw energy over polished electronic or synth-pop styles. the user values a sense of power and intensity in their music choices, suggesting a preference for impactful and visceral sonic experiences. the user prefers energetic and driving rock music. the user enjoys a guitar-driven sound with a heavy and loud feel. the user appreciates a powerful and impactful sonic experience. the user prefers music with a driving rhythm and a strong beat. the user prefers a more controlled energy over a chaotic one.","the user dislikes overly chaotic or raw music. the user dislikes sterile or polished electronic music, especially with vocals."
exp_01,173,8uutmBRg5ig,3,"Although I don't have much information about the specific album or artists, the song itself aligns well with your preferences.",preference,preference-supported,preference-supported,,uncheckable,"the user demonstrates a clear preference for upbeat and positive music, appreciating energetic tracks with bright vocals and catchy instrumentation, as exemplified by their enthusiasm for alyssa and friends’ “roar.” however, they find intensely energetic or chaotic sounds overwhelming, particularly in rock music. while open to exploring new artists, the user gravitates towards music with a sense of space and a dreamy vibe, often featuring prominent piano melodies. they value clean production and a polished sound, but ultimately seek a calmer, less raw musical experience, suggesting a preference for more nuanced and atmospheric pieces. the user prefers upbeat and positive music with energetic qualities. the user appreciates bright and clear female vocals. the user enjoys music with catchy piano chords and driving instrumentation. the user prefers music with a sense of space and a dreamy vibe. the user appreciates clean and polished music production. the user seeks music that is calmer and less raw. the user is open to exploring music similar in energy to 'lasette kiss it goodbye', but with a less intense feel.",the user dislikes intensely energetic or chaotic rock music.
exp_01,176,nE3ES0Q_37s,4,"indie elements, which align with your preferences.",preference,preference-supported,preference-supported,indie,not_found,"the user demonstrates a preference for music with a driving rhythm and energetic feel, but not excessively fast or heavy. while initially drawn to pop music with a techno-adjacent feel, they find overly electronic and fast-paced tracks unsuitable. they appreciate a strong bassline and prominent drums, but are wary of sounds that are too intense or 'heavy,' suggesting a preference for a more controlled energy. the user seems open to exploring music with caribbean influences and appreciates a good rhythm, but ultimately seeks a balance between energy and a more relaxed tempo. the user prefers music with a driving rhythm and energetic feel. the user appreciates music with a strong bassline and prominent drums. the user enjoys music with caribbean influences. the user prefers a balance between energy and a more relaxed tempo. the user's preferred music style has a techno-adjacent feel, but is not strictly techno.","they are not averse to complexity, but prioritize a comfortable pace. the user dislikes music that is excessively fast-paced or electronic. the user avoids music described as 'heavy' or intense."
exp_01,179,JzSLIe2liYc,1,I understand your preference for a 90s vibe.,preference,preference-supported,preference-supported,,uncheckable,"the user demonstrates a strong affinity for electronic music, particularly those with a driving beat and prominent synth sounds. while appreciating high energy and a relentless pace, the user also expresses a desire for a more grounded and deliberate feel, indicating a preference for techno with a solid bassline. they acknowledge a liking for cleaner, more polished electronic production but also value a raw, industrial edge in electronic hip-hop. the user enjoys electronic music with a driving beat and prominent synth sounds. the user prefers a deliberate and grounded tempo, avoiding overly fast or frantic rhythms. the user appreciates a raw, industrial feel in electronic hip-hop. the user values a solid, grounding techno beat with a strong bassline. the user is drawn to music that creates a focused and energetic atmosphere. the user appreciates cleaner, more polished electronic production. the user finds music with a relentless pace appealing.","the user's taste leans towards energetic and focused atmospheres, suggesting a preference for music that facilitates concentration and a sense of momentum, but avoids frantic or overly fast tempos."
