judge_task,sample_idx,video_id,condition,claim_text,generated_text,llm_support_source,llm_is_supported,llm_reason,llm_raw,human_label,human_notes,llm_is_aligned,llm_has_conflict,llm_alignment_strength,top1_reference_text,llm_is_metadata_supported,llm_unsupported_aspects
feature_erasure,2455,gRKzFMRviAs,full,It has a fast-paced techno beat,"Certainly! I recommend 'Dance With Me' by D.J. Antoine. It's a track from the album 'Dance With Me'. This song combines elements of electronic, house, and pop with a touch of rock. It has a fast-paced techno beat and a catchy melody that could add a dynamic and energetic vibe to your video.",audio-supported,1,Claim is supported by the description of the song's genre and tempo.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the description of the song's genre and tempo.""
}",,,,,,,,
feature_erasure,3256,cqoeZEweGy4,full,It was released in 2012,"Certainly! How about 'Uradi pravu stvar' by I? It's a track from their album 'Uradi pravu stvar'. The song combines hip-hop, R&B, and soul elements with electronic and pop influences. It was released in 2012 and could add a unique touch to your video.",audio-supported,1,Claim is supported by the song's metadata and genre information.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the song's metadata and genre information.""
}",,,,,,,,
feature_erasure,313,z7Dy7s5tg2o,full,It's a track from his album 'Sunshine'.,"Certainly! How about 'Sunshine' by Danny Avila? It's a track from his album 'Sunshine'. This song combines elements of dance, electronic, pop, and house music. It has a catchy beat and a vibrant energy that could be a fitting choice for your video.",audio-supported,1,Claim is supported by the music sound and genre information provided.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the music sound and genre information provided.""
}",,,,,,,,
feature_erasure,1897,bTOju_n8BJ4,full,This track has a dance,Certainly! I would recommend 'My life is mine' by Miriam Reyes. This track has a dance and electronic sound with female vocals. It's part of the album 'My life is mine' and offers a catchy and energetic vibe that would be perfect for your video.,audio-supported,1,Claim is supported by the music sound and genre mentioned in the explanation.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the music sound and genre mentioned in the explanation.""
}",,,,,,,,
feature_erasure,3587,K7KMRBoqQUg,full,"This song combines elements of electronic, pop","Allow me to recommend 'Shooting Star' by Owl City. It's a track from their album 'Shooting Star'. This song combines elements of electronic, pop, and indie genres, which aligns well with Owl City's distinctive style. It has a fast tempo and a catchy melody that can add energy to your video.",audio-supported,1,Claim relies on music genre and style information from the audio modality.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music genre and style information from the audio modality.""
}",,,,,,,,
feature_erasure,685,SSmTgwp15FQ,full,"In that case, I would recommend 'Why God Made Love Songs' by Joel Crouse.","In that case, I would recommend 'Why God Made Love Songs' by Joel Crouse. This track has a pop sound with elements of rock, indie, and alternative. It also has a touch of 80s influence, which adds a nostalgic feel to the music. It's a perfect fit for your video.",audio-supported,1,"Recommendation based on music genre, sound, and nostalgic feel.","{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Recommendation based on music genre, sound, and nostalgic feel.""
}",,,,,,,,
feature_erasure,3819,qIJqSGTpfA0,full,The song has a unique,"Allow me to recommend 'Shining Crane' by dESEO. It's a track from their album 'Shining Crane'. It combines elements of indie, pop, and dance with electronic beats and a fast-paced tempo. The song has a unique and catchy sound that could be a fitting choice for your video.",audio-supported,1,"The claim relies on the song's unique sound and tempo, which can be inferred from its audio features.","{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""The claim relies on the song's unique sound and tempo, which can be inferred from its audio features.""
}",,,,,,,,
feature_erasure,2813,TFAyPoHmcBQ,full,This track has a rock,"In that case, I would recommend 'Let's Get By' by Paddy Clegg. This track has a rock and indie sound with elements of alternative and indie rock. It's a catchy and energetic song that will add a unique touch to your video.",audio-supported,1,The claim is supported by the music sound and genre mentioned in the explanation.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""The claim is supported by the music sound and genre mentioned in the explanation.""
}",,,,,,,,
feature_erasure,1950,XS7C6uA8H7Y,full,I would recommend 'Planos impossiveis' by Manu Gavassi.,"Certainly! I would recommend 'Planos impossiveis' by Manu Gavassi. This track is a pop song with female vocals. It has a catchy melody and a positive message, which would be a great fit for your video.",audio-supported,1,Claim relies on music sound and genre features.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music sound and genre features.""
}",,,,,,,,
feature_erasure,839,_0kWPBMmYEU,full,pop with female vocals,"Allow me to recommend 'I'm Alive' by J.R. featuring J.R. & The Soul Survivors. It's a track from their album 'I'm Alive'. The song combines elements of hip-hop, soul, and pop with female vocals and drum beats. It was released in 2010 and has a catchy and energetic vibe that could be a fitting choice for your video.",audio-supported,1,Claim is supported by the description of the song's genre and vocals.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the description of the song's genre and vocals.""
}",,,,,,,,
feature_erasure,2882,1yNEohtQSW8,full,alternative with female vocals.,"Allow me to recommend 'Vivre à en crever' by Mozart Opera Rock. It's a track from their album 'Vivre à en crever'. The song combines elements of rock, pop, and alternative with female vocals. It was released in 2005 and may contain the specific elements you're looking for.",audio-supported,1,Claim is supported by the description of the song's genre and vocals.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the description of the song's genre and vocals.""
}",,,,,,,,
feature_erasure,323,7KnEzXBwovQ,full,"This song combines elements of hip-hop, pop","Certainly! I recommend '너 때문에' by 2PM. It's a track from their album 'HOTTEST EVERYWHERE'. This song combines elements of hip-hop, pop, and electronic music, which aligns well with the Korean music scene. It has a catchy beat and features male vocals, which adds a unique touch to the track.",audio-supported,1,Claim is supported by the description of music genre and style in the explanation.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the description of music genre and style in the explanation.""
}",,,,,,,,
feature_erasure,780,5ZVQ6_Hd4zc,full,ambient with chillout vibes.,"Allow me to recommend 'Sunshine' by Breezewax. It's a track from their album 'Sunshine'. It combines elements of electronic, indie, and ambient with chillout vibes. The song features female vocals, which could be a fitting choice for your video.",audio-supported,1,"The explanation mentions 'chillout vibes' and 'female vocals', which are audio-related features.","{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""The explanation mentions 'chillout vibes' and 'female vocals', which are audio-related features.""
}",,,,,,,,
feature_erasure,3915,4Q4VQyHfiPI,full,It's a track from their album 'Se siente el party'.,"Allow me to recommend 'Se siente el party' by Jhon KPO & Edsson. It's a track from their album 'Se siente el party'. It combines elements of electronic, pop, and Hip-Hop with catchy vocals and a beat-driven sound. It was released in 2013 and may contain the specific elements you're looking for.",audio-supported,1,Claim is supported by the music sound and genre information provided.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the music sound and genre information provided.""
}",,,,,,,,
feature_erasure,3003,0J808gIog1o,full,"In that case, I would recommend 'Kimi no sobade' by Sayaka Shionoya.","In that case, I would recommend 'Kimi no sobade' by Sayaka Shionoya. This track has a strong electronic and pop influence, with a powerful female vocal. It's part of the album 'Kimi no sobade' and would be a great fit for your video.",audio-supported,1,Recommendation depends on music genre and style mentioned in the explanation.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Recommendation depends on music genre and style mentioned in the explanation.""
}",,,,,,,,
feature_erasure,3129,TcfxyMRLVRg,full,"The song combines elements of pop, rock","Allow me to recommend '懸崖上的玫瑰' by 陳妍希. It's a track from her album '懸崖上的玫瑰'. The song combines elements of pop, rock, and indie with a touch of folk. It features Michelle Chen's distinctive female vocals, which aligns well with your preferences.",audio-supported,1,"The claim references music genre and style, which are audio-based features.","{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""The claim references music genre and style, which are audio-based features.""
}",,,,,,,,
feature_erasure,1240,Tqo1UOK1I44,full,Allow me to recommend 'Generación 12' by Generación 12.,"Allow me to recommend 'Generación 12' by Generación 12. It's a track from their album 'Generación 12'. It combines elements of rock, indie, and alternative with electronic beats that could be a fitting choice for your video. It also has indie rock and drum influences that you mentioned.",audio-supported,1,Recommendation relies on music genre and style mentioned in the audio modality.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Recommendation relies on music genre and style mentioned in the audio modality.""
}",,,,,,,,
feature_erasure,2673,6I0Dv46ZgZE,full,Allow me to recommend 'The Last Goodbye' by The Rasmus.,"Allow me to recommend 'The Last Goodbye' by The Rasmus. It's a track from their album 'The Last Goodbye'. The song combines elements of rock, indie, and alternative with a touch of metal. It has a slow and melodic sound with guitar-driven melodies. The track was released in 2012 and could be a fitting choice for your video.",audio-supported,1,"Claim relies on music genre, sound, and artist information.","{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music genre, sound, and artist information.""
}",,,,,,,,
feature_erasure,3463,Ga9vrr_fB-k,full,It has a fast-paced beat,"Certainly! How about 'Never Fear Dem' by Advance? It's a track from their album 'Never Fear Dem'. This song combines elements of Hip-Hop, electronic, and dance music. It has a fast-paced beat and a catchy rhythm that could add a dynamic touch to your video.",audio-supported,1,Claim is supported by the description of the song's rhythm and tempo.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the description of the song's rhythm and tempo.""
}",,,,,,,,
feature_erasure,256,JOUczfMaLTE,full,It's a track from his album 'Fe'.,"Allow me to recommend 'Fe' by Juaninacka. It's a track from his album 'Fe'. It combines elements of hip-hop, electronic, and rock genres, with a chillout vibe. The song was released in 2012 and has a unique blend of genres that could be a fitting choice for your video.",audio-supported,1,"The claim references the song's album title 'Fe', which is audio-related information.","{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""The claim references the song's album title 'Fe', which is audio-related information.""
}",,,,,,,,
feature_erasure,1322,pgoDe__Fm-Y,wo_audio_all,"It combines elements of pop, rock","Allow me to recommend 'Kodaline' by Kodaline. It's a track from their album 'Kodaline'. It combines elements of pop, rock, and indie with female vocalists, which could be a fitting choice for your video. It has a techno and fast-paced sound too.",audio-supported,1,Claim is supported by the presence of music genre and style information in the audio modality.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the presence of music genre and style information in the audio modality.""
}",,,,,,,,
feature_erasure,2254,Fr2ZASMNaa0,wo_audio_all,It was released in 2014,"Allow me to recommend 'DJ Caique - 'Aqui Eu' by Dj Caique. It's a track from his album 'DJ Caique'. It combines elements of hip-hop, electronic, and rock with indie and male vocal influences that could be a fitting choice for your video. It was released in 2014 and has a unique style that aligns with your preferences.",audio-supported,1,The release year is mentioned in the audio metadata.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""The release year is mentioned in the audio metadata.""
}",,,,,,,,
