sample_idx,video_id,top1_is_gt,claim_id,claim_text,claim_terms,metadata_terms,rule_is_metadata_supported,generated_text,top1_reference_text,human_is_metadata_supported,human_unsupported_terms,human_notes
3626,QctJL1wkQPk,1,4,"The song has a fast-paced and loud sound, with a mix of guitar and electronic elements.",electronic;fast;guitar,electronic;energetic;indie;pop;rock,0,"Allow me to recommend 'Monster' by Radiopilot. It's a track from their album 'Monster'. It combines elements of indie rock, electronic, and pop, which aligns well with the style you're looking for. The song has a fast-paced and loud sound, with a mix of guitar and electronic elements.",Sure! How about using 'Monster' by Radiopilot? It's an indie rock track with electronic and pop influences. The song was released in 2008 and has a catchy and energetic vibe that could enhance your video. It aligns well with Radiopilot's distinctive style.,,,
4079,ucMpzhhtnPY,0,3,"It combines elements of pop, electronic, and rock with female vocals that could be a fitting choice for your video.",electronic;female vocals;male vocals;pop;rock;vocal;vocals,dance;electronic;energetic;pop;r&b;vocal,0,"Allow me to recommend 'Regarde-nous' by Maggie Szabo. It's a track from her album 'Regarde-nous'. It combines elements of pop, electronic, and rock with female vocals that could be a fitting choice for your video.","Allow me to recommend 'Regarde-nous' by Amel Bent. It's a pop and electronic track with R&B and dance influences. Although I couldn't find specific information about the album or release year, the song features Amel Bent's distinctive female vocal and has a catchy and energetic sound that could add the desired elements to your video.",,,
4199,KVcQepco1H4,1,2,It's a pop-rock track with indie and alternative influences.,alternative;indie;pop;rock,alternative;female vocals;guitar;male vocals;pop;rock;vocal;vocals,0,"Certainly! How about 'Hero' by Sterling Knight? It's a pop-rock track with indie and alternative influences. The song features catchy vocals and a guitar-driven sound, which can add a pop and vocal element to your video. It's a great choice to combine different genres and create a dynamic and engaging atmosphere.","Sure! How about 'Hero' by Sterling Knight? It's a pop-rock track with alternative influences. While there's no description available for this song, it features female vocals and guitar, which align with the pop and vocal elements you're looking for. Although I don't have much background information about this track, it could be a fitting choice for your video.",,,
20,wunrK8XPH2I,0,3,"It combines elements of Hip-Hop, electronic, and chillout with a touch of rnb.",chill;chillout;electronic;hip-hop,beat;electronic;fast;hip-hop;indie;techno,0,"Allow me to recommend 'Gamelin' by Gamelin. It's a track from their album 'Gamelin'. It combines elements of Hip-Hop, electronic, and chillout with a touch of rnb. The song has a relaxed and laid-back vibe that could be a fitting choice for your video.","I suggest checking out 'MiddelFingaz' by WhiteBoyBlack. It's a hip-hop track featuring Dam$co and Sezi. Although it doesn't have a specific album or artist mentioned, it has a blend of electronic, indie, and hip-hop elements, which aligns with your preferences. The song has a fast-paced beat with a techno and electronic sound.",,,
33,RCOcdMVmKBE,0,2,This track has a 90s feel to it with its electronic and Hip-Hop elements.,electronic;hip-hop,electronic;hip-hop;pop;r&b;soul;synth,1,"In that case, I would recommend 'Live It Up' by Christian Monroe. This track has a 90s feel to it with its electronic and Hip-Hop elements. It's part of the album 'Live It Up' and it's produced by J.R. and directed by J.R. and Christian Monroe.","Let me suggest 'LIVE IT UP' by Christian Monroe. It's a track from his mixtape album 'Yours Truly' and was produced by J. Glover. The song has a hip-hop and electronic vibe with a touch of R&B and pop. It also features elements of soul. Although there is no specific mention of a synth sound, it aligns well with your desired genre and style.",,,
1230,mnR6-_dxI9c,0,2,"It's a track that combines elements of Hip-Hop, R&B, soul, and pop.",hip-hop;pop;r&b;soul,beat;beats;dance;electronic;female vocals;hip-hop;male vocals;pop;vocal;vocals,0,"Certainly! How about 'Drive a Dream' by JC - The Truth? It's a track that combines elements of Hip-Hop, R&B, soul, and pop. Although I don't have much information about the specific album or artists, the song itself should provide the desired elements for your video.","Allow me to recommend 'Drive a Dream' by JC - The Truth. It's a track from the album 'A Hamilton & Hope (Remastered)'. This song combines elements of hip-hop, electronic, pop, and dance with female vocals and electronic beats. It was released in 2009, which may contain the specific elements you're looking for.",,,
3656,3l4tckL1Xws,1,3,"It combines elements of rock, pop, and indie with electronic beats and a female vocalist.",beat;beats;electronic;indie;pop;rock;vocal,alternative;pop;rock;vocal,0,"Allow me to recommend 'Sunshine' by Mailers. It's a track from their album 'Sunshine'. It combines elements of rock, pop, and indie with electronic beats and a female vocalist. It was released in 2012 and may contain the specific elements you're looking for.","Allow me to recommend 'Materia' by Mailers. It's a track from their collection and it includes elements of rock, pop, and alternative genres. The song features a female vocalist and it was recorded by Mailers. It may be a fitting choice for your video, incorporating the specific style and influences you're looking for.",,,
355,dWIVba3XXCA,0,2,"This track is part of their album 'Akhirnya Indah' and offers a unique blend of indie, rock, and alternative genres.",alternative;indie;rock,indie;pop;rock,0,"Certainly! If you're looking for an indie and alternative vibe, I would recommend 'Akhirnya Indah' by The Changcuters. This track is part of their album 'Akhirnya Indah' and offers a unique blend of indie, rock, and alternative genres. It has a catchy and energetic sound that will complement your video perfectly.","In that case, I would recommend 'Akhirnya Indah' by The Changcuters. This track combines indie rock and pop elements, creating a unique and catchy sound. It's part of the album 'Akhirnya Indah' and it's produced by Scalene Studios.",,,
3799,JGy5x6oHqjY,1,3,"It combines elements of electronic, house, and dance genres with a touch of electro.",dance;electronic;house,dance;electronic;house,1,"Allow me to recommend 'Inspire' by Gazzo featuring Farewell Luna. It's a track from Gazzo's album 'Inspire'. It combines elements of electronic, house, and dance genres with a touch of electro. The song has a fast-paced techno sound and a catchy beat that could be a fitting choice for your video.","Allow me to recommend 'Inspire' by Gazzo featuring Farewell Luna. It's a track from Gazzo's album 'Ibiza Vibes 2019'. This song combines elements of electronic, dance, electro, and house music, which aligns well with your desired style. The track features Farewell Luna and was released in 2019, giving it a modern and fresh sound.",,,
1858,bqP75fLJ3ac,1,3,"It combines elements of alternative rock, indie, and pop with guitar and vocal-focused sound that could be a fitting choice for your video.",alternative;guitar;indie;pop;rock;vocal,alternative;guitar;indie;pop;rock;vocal,1,"Allow me to recommend 'Años Muertos' by Fernando Shann. It's a track from his album 'Años Muertos'. It combines elements of alternative rock, indie, and pop with guitar and vocal-focused sound that could be a fitting choice for your video.","Allow me to recommend 'Años Muertos' by Fernando Shann. It's a track from his album 'Casualidad'. It combines elements of alternative rock, indie, and pop with guitar-driven and vocal-focused sound that could be a fitting choice for your video. The song was released in 2011 and contains the specific elements you are looking for.",,,
3436,MVLyzh0-YtI,0,3,"It combines elements of pop, electronic, and R&B with female vocals.",electronic;female vocals;male vocals;pop;r&b;vocal;vocals,beat;beats;electronic;fast;hip-hop;indie;pop;r&b;techno;vocal,0,"Allow me to recommend 'Wedding Dress' by TAEYANG. It's a track from his album 'Wedding Dress'. It combines elements of pop, electronic, and R&B with female vocals. This song could provide the variety you're looking for in your video.","How about 'Wedding Dress' by TAEYANG? It's a track from the album 'Solar International'. It combines elements of electronic, pop, and R&B genres with a touch of hip-hop and indie influences. The song has a fast-paced vocal and electronic sound, which aligns with Glaze's techno and fast-paced beats.",,,
2528,GV2e5g7IWqc,0,3,It's part of the album 'Rolling in the Deep' and features Adele's powerful vocals.,vocal;vocals,pop;rock;soul;vocal;vocals,1,"In that case, I would recommend 'Rolling in the Deep' by Adele. This track has a soulful and jazz-inspired sound that would be perfect for your video. It's part of the album 'Rolling in the Deep' and features Adele's powerful vocals.","Absolutely! I have the perfect recommendation for you. I would suggest 'Rolling in the Deep' by Adele. This track showcases Adele's powerful and soulful vocals, and it falls under the genres of pop, soul, and rock. It will add a touch of emotion and intensity to your video.",,,
1777,4T4SRC5ToiU,0,4,"It features male vocals and was released in 2010, which may contain the specific elements you want.",male vocals;vocal;vocals,alternative;country;indie;pop;rock,0,"Allow me to recommend 'Light Up The Sky' by The Afters. It's a track from their album 'Light Up The Sky'. The song combines elements of rock, pop, and indie with alternative influences. It features male vocals and was released in 2010, which may contain the specific elements you want.","Absolutely! I have the perfect recommendation for you. 'Smile' by Uncle Kracker is a great choice. It falls under the genres of rock, pop, indie, alternative, and country. This track has a feel-good vibe that will bring a smile to your face. It's sure to uplift the mood of your video!",,,
3664,DHNVh_sZawQ,0,3,The song features female vocals and has a techno and fast-paced sound that could be a fitting choice for your project.,fast;female vocals;male vocals;techno;vocal;vocals,dance;electronic;fast;female vocals;house;male vocals;pop;techno;vocal;vocals,1,Allow me to recommend 'Find Tomorrow (Ocarina)' by Dimitri Vegas & Like Mike ft; 22Bullets. It's an electronic dance track with elements of pop and indie. The song features female vocals and has a techno and fast-paced sound that could be a fitting choice for your project.,"Certainly! How about 'Find Tomorrow (Ocarina)' by Dimitri Vegas & Like Mike ft. Wolfpack & Katy B? It's a dance and electronic track with pop and house influences. The song features female vocals and has a techno and fast-paced electronic sound, which can add a dynamic and catchy element to your video.",,,
3937,JasrjpRdoRU,1,3,"It combines elements of pop, R&B, and electronic music with female vocals.",electronic;female vocals;male vocals;pop;r&b;vocal;vocals,dance;electronic;female vocals;male vocals;pop;vocal;vocals,0,"Allow me to recommend 'Sua Cara' by Anitta and Ludmila. It's a track from their album 'Sua Cara'. It combines elements of pop, R&B, and electronic music with female vocals. The song has a catchy and energetic vibe that could be a fitting choice for your video.","Allow me to recommend 'Deixa ele Sofrer'. It's a track from Anitta's video mixer that includes her song 'Na Batida' and Ludmila's song 'Hoje'. The video mixer was created as a tribute to both artists and showcases their unique style in the funk genre. Although the specific details of 'Deixa ele Sofrer' are not provided, it is likely to have the pop, dance, and electronic elements you're looking for, along with the strong female vocals from both artists.",,,
42,8xlw3-_0nS0,1,3,"The song combines elements of hip-hop, pop, and electronic music with a chillout vibe.",chill;chillout;electronic;hip-hop;pop,chill;chillout;electronic;female vocals;hip-hop;male vocals;pop;vocal;vocals,1,"Allow me to recommend 'Pienso En Ti' by Danny Lyon. It's a track from his album 'Pienso En Ti'. The song combines elements of hip-hop, pop, and electronic music with a chillout vibe. It was released in 2012 and has a soothing and relaxing sound that could be a fitting choice for your video.","Allow me to recommend 'Pienso En Ti' by Danny Lyon. It's a chillout track with electronic and pop influences. The song features female vocals and falls under the hip-hop genre. Although there is no specific album or artist information available for this track, it was released as an official music video in 2013.",,,
2374,IHcfxCt36mo,0,2,It's a hip-hop track with electronic and dance influences.,dance;electronic;hip-hop,dance;electronic;hip-hop,1,Certainly! How about 'I'm A Boss' by Yung Tone? It's a hip-hop track with electronic and dance influences. The song has a fast-paced beat and synth elements that could add a dynamic and energetic vibe to your video. It was released in 2014 and has a catchy and upbeat sound.,"Allow me to recommend 'AINT ACTING RIGHT'. It's a hip-hop and electronic track with dance and electro influences. Although I don't have much information about it, the description mentions it as a video produced by 559MMPRODUCTIONS, which may contain the specific elements you're looking for in your video.",,,
4175,ET6U1HodEUU,1,4,"It falls under the genres of rock, pop, and indie, with elements of soul and alternative.",alternative;indie;pop;rock;soul,emotional;female vocals;indie;male vocals;pop;rock;soul;vocal;vocals,0,"Certainly! I recommend 'Tripped by Audrey Belle'. It's a track with female vocals and a soulful sound. Although I don't have much information about the specific album or artist, the song itself aligns well with your preferences. It falls under the genres of rock, pop, and indie, with elements of soul and alternative.","Certainly! You might enjoy 'Tripped' by Audrey Belle. It's a track from her album 'Never Around'. The song features female vocals and blends elements of rock, pop, indie, and soul. It can bring a soulful and emotional vibe to your video.",,,
1118,ks_HtcmCrkM,0,3,It's part of the album 'Aksar' and features female vocals.,female vocals;male vocals;vocal;vocals,electronic;hip-hop;pop;soul;vocal;vocals,0,"In that case, I would recommend 'Soniye (Remix)' by K. This track has a strong R&B and hip-hop influence, with elements of pop and electronic music. It's part of the album 'Aksar' and features female vocals. It's a great choice if you're looking for a track with a smooth and soulful vibe.","In that case, I would recommend 'Soniye (Remix) (From 'Aksar')' by K.K. and Sunidhi Chauhan. This track combines elements of Hip-Hop, pop, and electronic music with a touch of soul. It features the perfect blend of vocals from both artists to create a captivating listening experience.",,,
1000,NB6-sVPB3cU,0,1,"In that case, I would recommend 'Dance Inside' by The All-American Rejects.",dance,alternative;dance;energetic;fast;indie;melody;pop;rock,1,"In that case, I would recommend 'Dance Inside' by The All-American Rejects. This track has a strong alternative rock sound with elements of indie and alternative. It's a perfect fit for your video, capturing the emotions and energy you're looking for.","For a fantasy game theme with a strong rock vibe, 'Dance Inside' by The All-American Rejects would be an excellent choice. This track combines rock, alternative, indie, and a bit of pop to create a powerful and fast-paced melody that fits perfectly with energetic and imaginative settings. It's also been used in Final Fantasy X-2 Music Video clips, which aligns perfectly with your fantasy gaming theme.",,,
817,EF-SAISlItE,1,4,It was released in 2013 and has a guitar-focused sound that could be a fitting choice for your video.,guitar,alternative;indie;pop;rock,0,"Allow me to recommend 'Tal Vez' by Figo. It's a track from their album 'Tal Vez'. The song combines elements of rock, indie, and alternative with male vocals and pop influences. It was released in 2013 and has a guitar-focused sound that could be a fitting choice for your video.","Allow me to recommend 'Tal Vez' by Figo. Although I couldn't find much information about this track, Figo is known for his indie, alternative, and rock style with pop influences. This track might be a fitting choice for your video as it aligns with your preferences.",,,
1119,rZb8WsdW5eM,1,3,"The track features piano and female vocals, which aligns well with the indie/folk/pop/rock style you're looking for.",female vocals;folk;indie;male vocals;piano;pop;rock;vocal;vocals,emotional;female vocals;folk;indie;male vocals;piano;pop;rock;soul;vocal;vocals,1,"Allow me to recommend 'Stay' by Rachel Brown & ELEW. It's a cover of the song originally performed by Rihanna. The track features piano and female vocals, which aligns well with the indie/folk/pop/rock style you're looking for. It was recorded in 2012 and has a beautiful and emotional sound.","Allow me to recommend 'Stay' by Rachel Brown & ELEW. It's a cover of Rihanna's song and features piano, female vocals, and a mix of indie, folk, pop, and rock genres. The collaborative performance by Rachel Brown and ELEW brings a unique and soulful touch to the track, which could enhance the emotional and expressive aspects of your video project.",,,
1457,6Tr4ecv6S9s,1,4,"It could be a great addition to your video, combining the rock and pop elements you're looking for.",pop;rock,alternative;country;male vocals;pop;rock;vocal;vocals,1,"Certainly! How about 'Una vez más' by Cristian Gastou? It's a rock track with pop and alternative influences. The song was released in 2012 and has a guitar-focused sound. It could be a great addition to your video, combining the rock and pop elements you're looking for.","Certainly! I recommend the track 'Una vez más' by Cristian Gastou. It's a rock and pop influenced song with alternative and country elements. It is part of his album 'Como Es Escapan Los Lunes'. The track features male vocals and has a progressive rock vibe. It's a great choice if you're looking for a mix of rock, pop, and alternative genres in your video.",,,
1716,MErXh4XUivc,1,3,"It combines elements of electronic, dance, and pop with a touch of electro.",dance;electronic;pop,dance;electronic;house;pop,1,"Allow me to recommend 'You Believed' by Pandora ft; 20syl. It's a track from Pandora's album 'You Believed'. It combines elements of electronic, dance, and pop with a touch of electro. The song has a fast-paced techno beat and a catchy melody that could be a fitting choice for your video.","Allow me to recommend 'You Believed' by Pandora ft. Matt Hewie. It's a track that combines elements of dance, electronic, house, and pop with an electro sound. Although I don't have much information about the specific track, it features the collaboration between Pandora and Swedish DJ Matt Hewie, who was nominated for Producer/Remixer of the Year in 2009.",,,
3636,O30F9cxtlVM,0,3,"It combines elements of hip-hop, pop, and R&B with electronic beats and a dance vibe.",beat;beats;dance;electronic;hip-hop;pop;r&b,dance;electronic;energetic;hip-hop,0,"Allow me to recommend 'Mi Gente' by J Balvin. It's a track from the album 'Mi Gente'. It combines elements of hip-hop, pop, and R&B with electronic beats and a dance vibe. The song has a catchy and energetic sound that could be a fitting choice for your video.","Allow me to recommend 'I AM A BUCCANEER!'. It's a track that aligns well with your promotional video supporting the Tampa Bay Buccaneer squad. This song has elements of hip-hop, electronic, and dance music, which can enhance the energetic and lively atmosphere of your video. It's a perfect fit for increasing community spirit and fan-fare for your hometown team.",,,
449,2BHqOpYyQY0,0,1,I suggest checking out 'SATAYERA' by GXSOUL.,soul,hip-hop;indie;pop;r&b;rap;soul;vocal;vocals,1,"I suggest checking out 'SATAYERA' by GXSOUL. It's a track that combines hip-hop, pop, and R&B genres with electronic and dance elements. The song has a catchy beat and a mix of male and female vocals, which can add a dynamic and energetic vibe to your video.","Allow me to recommend 'SATAYERA' by GXSOUL. It's a track from their discography that showcases their R&B and pop sound, along with female vocalist's captivating vocals. It falls under the genres of hip-hop, R&B, pop, and indie, which aligns well with your preferences. Unfortunately, I don't have more information about the specific track's album or release year.",,,
2935,3nXCYSDR-dk,0,4,"It features strong guitar presence and male vocals, which aligns well with your preferences.",guitar;male vocals;vocal;vocals,alternative;energetic;indie;pop;rock,0,"Allow me to recommend 'Som en dröm' by Stiftelsen. It's a track from their album 'Som en dröm'. The song combines elements of rock, indie, and alternative rock with a touch of pop. It features strong guitar presence and male vocals, which aligns well with your preferences. The track was released in 2012 and has a distinctive style that could complement your video.","In that case, I would recommend the song 'K90 HORAS Y SEGUNDOS'. It is a rock, indie, and alternative track by the band K90 from Bogotá. This song has a unique indie rock sound with hints of pop influences. It will give your video a cool and energetic vibe.",,,
